unknown_params,G_true,method,n_seeds,accuracy,mean_steps,mean_wall_time,G_rmse,G_bias,G_mean_fit,a_rmse,a_bias,a_mean_fit,q_rmse,q_bias,q_mean_fit,c_rmse,c_bias,c_mean_fit
G,0.1,u,50,1.0,95.3,220.951,0.22479020037060868,0.06443832067993101,0.16443832067993103,,,,,,,,,
G,0.1,u_bar,50,0.08,73.14,86.07240000000003,0.06971654278087276,-0.024995981843763393,0.07500401815623661,,,,,,,,,
G,0.1,x,50,0.04,142.06,196.901,0.3772785636994622,0.2604902153492779,0.3604902153492779,,,,,,,,,
G,0.3,u,50,1.0,71.12,220.71560000000002,0.003086077628974684,0.0015616015456379152,0.30156160154563794,,,,,,,,,
G,0.3,u_bar,50,0.8,69.14,138.56339999999997,0.08782258071987753,-0.0190581685169857,0.28094183148301427,,,,,,,,,
G,0.3,x,50,0.72,96.64,199.0596,0.23132213713599123,0.10284674373620564,0.40284674373620566,,,,,,,,,
G,0.5,u,50,1.0,64.72,134.0152,0.0016914991894726279,0.001109889425889833,0.5011098894258899,,,,,,,,,
G,0.5,u_bar,50,1.0,58.02,76.1232,0.05139010767490326,-0.0014878683421563543,0.49851213165784364,,,,,,,,,
G,0.5,x,50,1.0,45.58,65.69460000000001,0.04111490213273972,0.003917191340124325,0.5039171913401244,,,,,,,,,
G,0.7,u,50,1.0,52.1,136.8556,0.0009179628757392134,0.0006965420468038563,0.7006965420468036,,,,,,,,,
G,0.7,u_bar,50,1.0,48.64,97.8382,0.02873718495825968,-0.0037366476643758383,0.696263352335624,,,,,,,,,
G,0.7,x,50,1.0,38.22,70.2088,0.04654478012641584,0.00415669803538101,0.7041566980353811,,,,,,,,,
G,0.9,u,50,1.0,38.9,60.8112,0.0006024210461454808,0.00039675284831113266,0.900396752848311,,,,,,,,,
G,0.9,u_bar,50,1.0,37.82,60.382600000000004,0.02459089058243907,-0.0013676397175811127,0.8986323602824189,,,,,,,,,
G,0.9,x,50,1.0,40.76,79.0348,0.04446644355468939,0.0010520733875627065,0.9010520733875625,,,,,,,,,
G|a,0.1,u,50,1.0,167.62,314.4826,0.050879602822884645,0.020169154294331526,0.12016915429433153,0.5191378793941392,-0.028128596669768875,4.971871403330231,,,,,,
G|q,0.1,u,50,1.0,98.56,186.83859999999996,0.13633784415568498,0.03029043724388312,0.13029043724388312,,,,0.001136395907552502,0.0007099410182561949,1.0007099410182563,,,
G|a,0.1,u_bar,50,0.12,98.22,211.43599999999998,0.06276133912525586,-0.03942747124420326,0.06057252875579675,0.6197086472453192,-0.20970850658008744,4.790291493419912,,,,,,
G|q,0.1,u_bar,50,0.1,175.62,364.75299999999993,0.17558550942428533,0.039526812342498864,0.13952681234249886,,,,0.5737789153173786,-0.19861966011569143,0.8013803398843087,,,
G|a,0.1,x,50,0.08,82.16,123.9338,0.17374498741286695,0.09948998014977968,0.19948998014977964,0.19978863977562297,-0.01232275171201838,4.987677248287982,,,,,,
G|q,0.1,x,50,0.04,153.96,221.50240000000002,0.42770372269505014,0.31291143999283233,0.4129114399928324,,,,0.2458994969505176,-0.03348577441821057,0.9665142255817895,,,
G|a,0.3,u,50,1.0,110.26,395.1508,0.0002407018614281895,9.212879736299362e-05,0.300092128797363,0.0029639512644962962,0.00012157755631696076,5.000121577556317,,,,,,
G|q,0.3,u,50,1.0,82.16,202.18779999999998,0.000877522370405019,0.0001244568452005257,0.30012445684520056,,,,0.0004011735715976962,0.00011660182400118124,1.000116601824001,,,
G|a,0.3,u_bar,50,0.9,166.42,236.4816,0.06629491490645921,-0.018381649332944304,0.28161835066705565,1.396023861311364,0.12033640614625535,5.120336406146254,,,,,,
G|q,0.3,u_bar,50,0.74,156.06,226.9682,0.2477897645187934,0.058063102735833,0.35806310273583297,,,,0.9094612075291424,0.24368294252440947,1.2436829425244094,,,
G|a,0.3,x,50,0.78,76.3,99.7736,0.10197800415726965,0.04025094020572805,0.3402509402057281,0.19756353466935112,0.00961185051689597,5.009611850516896,,,,,,
G|q,0.3,x,50,0.66,105.06,136.5446,0.2669716949936569,0.1362671216664812,0.4362671216664812,,,,0.2376584472712215,0.0028641066925854863,1.0028641066925854,,,
G|a,0.5,u,50,1.0,95.76,191.05020000000002,0.00015765319289755327,3.2127155988028734e-05,0.5000321271559879,0.0010798099109687602,-0.00013992340337500408,4.999860076596625,,,,,,
G|q,0.5,u,50,1.0,84.76,153.4644,0.0006383688987331616,0.00025284911611886174,0.5002528491161189,,,,0.00041206113842567936,0.00017048002961461695,1.0001704800296145,,,
G|a,0.5,u_bar,50,1.0,128.28,236.2412,0.024915175140882557,-0.0024907688142179617,0.497509231185782,1.272855577664216,0.16330456058328455,5.163304560583284,,,,,,
G|q,0.5,u_bar,50,1.0,102.8,182.9968,0.1548100335804673,0.0244276763992925,0.5244276763992926,,,,0.4960570369231764,0.07897668131213001,1.0789766813121302,,,
G|a,0.5,x,50,1.0,49.82,92.26079999999997,0.04119696225614073,0.0022718616164361825,0.5022718616164361,0.1976533978651015,0.01235960937810054,5.0123596093781,,,,,,
G|q,0.5,x,50,1.0,50.42,64.792,0.041039038194157454,0.0024947470371829805,0.5024947470371829,,,,0.23682302824361917,0.02056779059502009,1.0205677905950201,,,
G|a,0.7,u,50,1.0,85.44,169.98,0.00013261015292811973,4.495173028203458e-05,0.7000449517302819,0.00031047035287176076,-9.514702512952055e-05,4.999904852974871,,,,,,
G|q,0.7,u,50,1.0,82.06,149.8894,0.00026113499623413815,0.00010989441460770743,0.7001098944146077,,,,0.0003852657514568655,6.488624940617971e-05,1.0000648862494061,,,
G|a,0.7,u_bar,50,1.0,100.48,163.3186,0.021516718295959712,-0.0017887024646105608,0.6982112975353894,0.9503498961788525,0.12022199776728462,5.120221997767285,,,,,,
G|q,0.7,u_bar,50,1.0,92.58,159.79760000000002,0.1252918077856137,0.015678785038152822,0.7156787850381527,,,,0.23968388655303854,0.013903164278098639,1.0139031642780987,,,
G|a,0.7,x,50,1.0,50.48,75.36359999999999,0.04736487793330134,0.0018571890317122786,0.7018571890317123,0.1976117799794428,0.012288842837229783,5.012288842837229,,,,,,
G|q,0.7,x,50,1.0,44.12,56.6198,0.047451162445529896,0.0025188574200479263,0.7025188574200477,,,,0.23658858101746816,0.01911937749803906,1.019119377498039,,,
G|a,0.9,u,50,1.0,72.2,186.896,0.00016499012170258259,6.172288053443609e-05,0.9000617228805345,0.000639943087724636,-7.856236743926104e-05,4.999921437632561,,,,,,
G|q,0.9,u,50,1.0,79.36,283.14619999999996,0.0002711686651475144,0.00014788706617855363,0.9001478870661787,,,,0.0003947184454748786,5.342697852417366e-06,1.0000053426978526,,,
G|a,0.9,u_bar,50,1.0,84.82,133.25879999999998,0.019171506638917934,-0.0013345287551504636,0.8986654712448495,0.6236316730803458,0.09229619865848881,5.092296198658489,,,,,,
G|q,0.9,u_bar,50,1.0,85.86,122.8272,0.08633071634399529,-0.0002981374035211348,0.899701862596479,,,,0.13513079856728838,0.009001526693954565,1.0090015266939545,,,
G|a,0.9,x,50,1.0,60.8,158.72279999999998,0.05164376586669309,0.00018676011910494063,0.900186760119105,0.1970738354885696,0.013727525916244137,5.013727525916245,,,,,,
G|q,0.9,x,50,1.0,58.9,106.071,0.04839632897058116,0.00013555710120166653,0.9001355571012017,,,,0.2365980725901635,0.02197817036540112,1.021978170365401,,,
G|a|q,0.1,u,50,1.0,181.46,346.45880000000005,0.048229271451109335,0.015758262927151514,0.11575826292715151,0.4667889045619357,-0.009915139924330614,4.99008486007567,0.005684830376118892,-0.0012520319738066844,0.9987479680261935,,,
G|a|q,0.1,u_bar,50,0.08,195.2,330.3232,0.0823987735443191,-0.03473463597007982,0.0652653640299202,0.8365510150066735,-0.3697605559936077,4.630239444006392,1.059177500500232,0.4056110755870275,1.4056110755870277,,,
G|a|q,0.1,x,50,0.04,186.82,268.9298,0.31227171147917465,0.20721207808324926,0.30721207808324924,1.118990077090999,-1.0348387516495319,3.965161248350469,1.5398277132416174,1.3850259476681455,2.3850259476681455,,,
G|a|q,0.3,u,50,1.0,138.68,327.5868,0.0005088227362367103,0.00021696172417625892,0.3002169617241762,0.019512190094646532,-0.004994717275293646,4.995005282724706,0.00020049271284579572,-1.7257836534114722e-05,0.9999827421634658,,,
G|a|q,0.3,u_bar,50,0.84,201.0,521.7014,0.16318943242347717,0.014797796294279297,0.3147977962942793,1.0183613609262645,-0.18038936674733566,4.8196106332526645,0.751392496885851,0.12084911664861146,1.1208491166486114,,,
G|a|q,0.3,x,50,0.54,176.84,253.681,0.17627347290284467,0.09964144235309133,0.39964144235309135,1.1242917672400552,-1.0632960743514848,3.9367039256485157,1.5769543941207151,1.453453299561158,2.4534532995611578,,,
G|a|q,0.5,u,50,1.0,136.04,529.2170000000001,0.0007905847741387254,0.0003767201334895376,0.5003767201334895,0.03064933114038526,-0.007609131314855375,4.992390868685145,0.0002682617359047943,-8.385441705210494e-05,0.9999161455829478,,,
G|a|q,0.5,u_bar,50,0.96,199.74,299.5062,0.1520721830649397,0.03520375693405637,0.5352037569340563,0.9718939482327137,-0.1718913216959153,4.828108678304084,0.417113925845152,0.003482035644236048,1.003482035644236,,,
G|a|q,0.5,x,50,0.96,159.96,333.30519999999996,0.06082088079409498,-0.0008799009969955985,0.4991200990030044,1.1467311248254564,-1.0774059796094475,3.9225940203905534,1.6503056475715545,1.4996778526866883,2.499677852686688,,,
G|a|q,0.7,u,50,1.0,163.78,306.5064,0.002090278959095764,0.0009029284371209866,0.7009029284371209,0.07819774499486297,-0.03021283765482428,4.969787162345176,0.0007148853115792937,-0.00026135005063097737,0.9997386499493689,,,
G|a|q,0.7,u_bar,50,0.96,197.88,287.7064,0.1597493256205502,0.026519771626800432,0.7265197716268003,0.976965023962592,-0.05349825232335878,4.946501747676641,0.2716122844381662,-0.002242661480957222,0.9977573385190428,,,
G|a|q,0.7,x,50,0.96,164.32,268.7722,0.08136061916052138,-0.0033309131895065468,0.6966690868104934,1.1372428240051464,-1.061970205819081,3.93802979418092,1.6424866538415295,1.4810619193964154,2.4810619193964154,,,
G|a|q,0.9,u,50,1.0,184.4,456.22740000000005,0.001614837063492881,0.0009423589575284685,0.9009423589575283,0.1806352412158247,-0.11900893493514549,4.880991065064854,0.0014239988306365735,-0.0008845451773180169,0.9991154548226819,,,
G|a|q,0.9,u_bar,50,0.96,180.08,251.81399999999996,0.14069087390258883,-0.023711570898762968,0.876288429101237,0.7698517083995092,0.1710943004339638,5.171094300433964,0.21568909172090897,0.05013725477221378,1.0501372547722136,,,
G|a|q,0.9,x,50,0.96,166.8,414.5119999999999,0.09055086027245329,-0.011751946078255473,0.8882480539217446,1.12769925175366,-1.056273515569334,3.943726484430666,1.6282947607834852,1.472382416523034,2.472382416523034,,,
G|a|q|c,0.1,u,50,1.0,193.76,349.4992,0.20558615666291655,0.10126424958827725,0.20126424958827727,0.5893631921980762,-0.12052404469601731,4.879475955303983,0.0059976805280857505,-0.0016930611839527864,0.9983069388160472,0.008404530086298736,-0.001569717327718802,-0.001569717327718802
G|a|q|c,0.1,u_bar,50,0.06,196.46,348.61959999999993,0.07990595713914797,-0.058072436586863264,0.041927563413136734,0.7933000729858919,-0.4589875137666123,4.541012486233387,1.07085511907667,0.6341916735073323,1.634191673507332,1.2541801747185184,-0.40274278579088807,-0.40274278579088807
G|a|q|c,0.1,x,50,0.0,183.14,234.1566,0.2841750673780986,0.17745603469518734,0.27745603469518737,1.102668665985759,-1.051497617345214,3.948502382654786,1.5708701508215275,1.4798085079230976,2.4798085079230976,1.3559979585083466,-0.5668489278703228,-0.5668489278703228
G|a|q|c,0.3,u,31,1.0,197.1290322580645,458.07677419354843,0.039894598682209,0.028626615210927017,0.32862661521092706,0.5381660254945048,-0.12942012182590035,4.8705798781741,0.010706455473815952,-0.002461942712777751,0.9975380572872222,0.016258212689686573,0.002898237221918556,0.002898237221918556
