seed,config_id,stage,unknown_params,G_true,predicted_idx,true_idx,correct,n_steps,wall_time_sec,a_true,q_true,c_true,G_fit,a_fit,q_fit,c_fit
0,20,4,G|a|q|c,0.9,188,188,1,37,69.94,5,1.0,0.0,0.9802338121128066,4.008188382333391,2.7623916173022147,1.363211930310942
1,20,4,G|a|q|c,0.9,94,94,1,51,61.71,5,1.0,0.0,0.9056383073217965,3.4832862977063406,3.5213091657797584,0.14152790770365242
2,20,4,G|a|q|c,0.9,33,33,1,130,167.85,5,1.0,0.0,0.9187442005711798,4.392649539868861,2.1555194890404548,-1.554122115614619
3,20,4,G|a|q|c,0.9,43,43,1,67,82.92,5,1.0,0.0,0.8602116900545883,3.4653927571083396,3.243958518989937,-0.10420080418473317
4,20,4,G|a|q|c,0.9,5,5,1,153,196.54,5,1.0,0.0,0.9402720795175779,3.851718585297155,2.2858797489344886,-1.5540183889468082
5,20,4,G|a|q|c,0.9,107,107,1,90,115.31,5,1.0,0.0,0.8715664215644717,4.366326150027158,1.8956631854478951,-1.4797166739305363
6,20,4,G|a|q|c,0.9,115,115,1,122,156.27,5,1.0,0.0,0.8167242174453464,4.035442892628101,2.7441683554661793,-1.7259748339970675
7,20,4,G|a|q|c,0.9,47,47,1,89,112.07,5,1.0,0.0,0.8790794580327421,3.625176406632678,2.73314036422682,-0.287612891198698
8,20,4,G|a|q|c,0.9,44,44,1,105,134.08,5,1.0,0.0,0.795541540740695,3.6532719683291037,3.4479701466793897,-0.7151960456370482
9,20,4,G|a|q|c,0.9,54,54,1,112,141.26,5,1.0,0.0,0.8963892927151191,3.7247288755149666,2.6636946516597177,-1.1692348032878006
10,20,4,G|a|q|c,0.9,24,24,1,99,123.87,5,1.0,0.0,0.7861169108040665,4.050044935196907,3.063693419160136,-1.6601727008281986
11,20,4,G|a|q|c,0.9,169,169,1,104,129.8,5,1.0,0.0,0.898911970719331,4.169546723196257,2.1972808466629026,-1.2653745958447544
12,20,4,G|a|q|c,0.9,156,80,0,201,252.02,5,1.0,0.0,0.04407829384517902,4.800717841641719,0.730707820621905,0.2654419387506562
13,20,4,G|a|q|c,0.9,167,167,1,134,163.7,5,1.0,0.0,0.9780613376480044,3.9049141770200464,2.4911345835051213,-2.05960396404746
14,20,4,G|a|q|c,0.9,29,29,1,88,106.52,5,1.0,0.0,0.8864148282800146,4.012715160832692,2.165823772971851,-0.621945587257725
15,20,4,G|a|q|c,0.9,176,176,1,119,147.23,5,1.0,0.0,0.9653689206399001,3.797575069511906,2.961877101954582,-2.7599615283526577
16,20,4,G|a|q|c,0.9,236,213,0,201,243.41,5,1.0,0.0,0.09727135216398139,4.848965406990323,0.4793175986238522,0.5012705193466191
17,20,4,G|a|q|c,0.9,78,78,1,162,199.44,5,1.0,0.0,0.9044225795431255,4.4063053015568245,2.2511127877053974,-1.4642891461299643
18,20,4,G|a|q|c,0.9,236,236,1,102,122.46,5,1.0,0.0,0.9144117849901447,3.440741306764968,3.034347576537169,-0.6327632292521868
19,20,4,G|a|q|c,0.9,93,93,1,71,85.34,5,1.0,0.0,0.8872661899438148,3.4587484489574303,3.014618614724874,1.607486639175198
20,20,4,G|a|q|c,0.9,230,230,1,67,81.06,5,1.0,0.0,0.9073987396545968,3.8083725775985635,2.837449500723284,1.2116330088039176
21,20,4,G|a|q|c,0.9,156,23,0,201,237.07,5,1.0,0.0,0.006187638837966438,3.9215712184542166,2.022760029050256,0.24744469206369513
22,20,4,G|a|q|c,0.9,230,230,1,118,140.59,5,1.0,0.0,0.911622707966488,3.9437790827030876,2.5626561401467938,0.9515809631741751
23,20,4,G|a|q|c,0.9,228,228,1,94,110.84,5,1.0,0.0,0.895750204254027,3.8073929898570693,2.962339457270206,-0.7308981309753723
24,20,4,G|a|q|c,0.9,128,128,1,49,56.28,5,1.0,0.0,0.9619433399291458,3.6692856894997523,3.105665358157298,-0.5110785684706771
25,20,4,G|a|q|c,0.9,33,33,1,102,112.99,5,1.0,0.0,0.8679316253695503,3.957315118125622,2.5226633841168526,-0.0019892622475002233
26,20,4,G|a|q|c,0.9,127,127,1,161,197.91,5,1.0,0.0,0.8063193081236792,3.821177348869698,2.7039724001176126,-1.5016199010305942
27,20,4,G|a|q|c,0.9,205,205,1,79,97.04,5,1.0,0.0,0.9003710454210387,3.8029829556723427,2.4534652904736776,1.6468009596403559
28,20,4,G|a|q|c,0.9,90,90,1,76,91.11,5,1.0,0.0,0.95476744603357,4.402823830867875,1.9129842024917767,0.31637973037017836
29,20,4,G|a|q|c,0.9,98,98,1,76,92.45,5,1.0,0.0,0.9058363716450184,4.102539890612983,1.7337475212704823,0.7795624342295605
30,20,4,G|a|q|c,0.9,181,181,1,80,93.77,5,1.0,0.0,0.8755022642401098,4.159794694140088,2.301226545742785,-0.22967078688567205
31,20,4,G|a|q|c,0.9,165,165,1,123,151.66,5,1.0,0.0,0.8540428543972964,3.620882897097928,2.983771894361083,-1.999043096772097
32,20,4,G|a|q|c,0.9,73,73,1,104,127.51,5,1.0,0.0,0.9095249891695331,3.81111779574897,2.374495619012071,-1.1086796940614512
33,20,4,G|a|q|c,0.9,136,136,1,160,199.98,5,1.0,0.0,0.8427824099851549,4.687022754987253,1.7075151814712937,-2.0233597352205366
