seed,config_id,stage,unknown_params,G_true,predicted_idx,true_idx,correct,n_steps,wall_time_sec,G_fit
0,1,1,G,0.1,220,188,0,74,91.63,0.033656495540980005
1,1,1,G,0.1,94,94,1,51,62.09,0.09001975080021088
2,1,1,G,0.1,33,33,1,63,78.34,0.07488584450156295
3,1,1,G,0.1,139,43,0,81,99.67,0.04330772100402763
4,1,1,G,0.1,166,5,0,63,72.2,0.02960592274558946
5,1,1,G,0.1,210,107,0,85,106.01,0.03557593883637232
6,1,1,G,0.1,95,115,0,57,69.97,0.10581019857659049
7,1,1,G,0.1,26,47,0,66,83.68,0.09131430330425834
8,1,1,G,0.1,213,44,0,73,95.15,0.038136507808438046
9,1,1,G,0.1,236,54,0,59,76.96,0.11785456411329134
10,1,1,G,0.1,2,24,0,53,66.87,0.07578216841879692
11,1,1,G,0.1,39,169,0,50,52.26,0.017502069427558192
12,1,1,G,0.1,197,80,0,70,84.16,0.03974074826309756
13,1,1,G,0.1,125,167,0,50,59.93,0.06719241441746693
14,1,1,G,0.1,117,29,0,96,115.13,0.04557789657086198
15,1,1,G,0.1,78,176,0,94,112.93,0.06496275340918722
16,1,1,G,0.1,189,213,0,54,64.88,0.08815789736746682
17,1,1,G,0.1,114,78,0,84,94.73,0.035853825977350456
18,1,1,G,0.1,53,236,0,53,61.52,0.10948405519250488
19,1,1,G,0.1,75,93,0,112,127.66,0.06599735894093914
20,1,1,G,0.1,121,230,0,62,65.71,0.025264146177803017
21,1,1,G,0.1,163,23,0,58,68.21,0.06954388373311014
22,1,1,G,0.1,223,230,0,45,46.42,0.02566430910773293
23,1,1,G,0.1,231,228,0,201,240.6,0.11559848926684874
24,1,1,G,0.1,82,128,0,50,54.48,0.06258493347999781
25,1,1,G,0.1,216,33,0,57,66.46,0.07456421035255392
26,1,1,G,0.1,120,127,0,46,52.93,0.18731052136513338
27,1,1,G,0.1,116,205,0,76,89.19,0.1044947223647925
28,1,1,G,0.1,73,90,0,111,126.73,0.046281101179868195
29,1,1,G,0.1,75,98,0,49,60.19,0.07700731283836344
30,1,1,G,0.1,126,181,0,201,246.16,0.44517928560557113
31,1,1,G,0.1,217,165,0,96,102.09,0.03939712078822146
32,1,1,G,0.1,162,73,0,57,64.95,0.11804347728039681
33,1,1,G,0.1,25,136,0,71,82.98,0.058049777752705166
34,1,1,G,0.1,84,246,0,56,64.43,0.0661469283812824
35,1,1,G,0.1,19,182,0,69,79.55,0.027712226029270235
36,1,1,G,0.1,108,50,0,61,71.72,0.14728334024024414
37,1,1,G,0.1,205,252,0,91,106.95,0.01393159554130967
38,1,1,G,0.1,218,183,0,61,70.9,0.07582543062315075
39,1,1,G,0.1,83,44,0,51,59.08,0.0365741644989112
40,1,1,G,0.1,9,9,1,57,67.13,0.1239806337427723
41,1,1,G,0.1,157,30,0,52,59.97,0.06837462671311074
42,1,1,G,0.1,229,188,0,65,76.8,0.05239628708793089
43,1,1,G,0.1,244,32,0,68,80.19,0.1093654388120808
44,1,1,G,0.1,248,177,0,98,110.59,0.035384711944290714
45,1,1,G,0.1,111,207,0,132,159.1,0.05533739312042963
46,1,1,G,0.1,200,203,0,77,84.24,0.039800243131651716
47,1,1,G,0.1,28,110,0,43,44.44,0.015176962445293249
48,1,1,G,0.1,154,167,0,47,54.1,0.02249569412690289
49,1,1,G,0.1,173,173,1,61,71.56,0.14101350486355116
