seed,config_id,stage,unknown_params,G_true,predicted_idx,true_idx,correct,n_steps,wall_time_sec,a_true,G_fit,a_fit
0,10,2,G|a,0.9,188,188,1,92,163.59,5,0.9213744432006271,6.543322904922388
1,10,2,G|a,0.9,94,94,1,55,86.16,5,0.8961008281921679,5.22782954441456
2,10,2,G|a,0.9,33,33,1,77,123.47,5,0.9127928811934612,5.613957720873031
3,10,2,G|a,0.9,43,43,1,64,100.73,5,0.88395569784942,4.7670633870441925
4,10,2,G|a,0.9,5,5,1,116,185.52,5,0.9073975189332113,6.1020758481458675
5,10,2,G|a,0.9,107,107,1,72,115.34,5,0.910918632793595,5.309610378534837
6,10,2,G|a,0.9,115,115,1,116,181.42,5,0.904830985394117,4.052395536280852
7,10,2,G|a,0.9,47,47,1,62,97.72,5,0.9100966832415779,4.689073101567599
8,10,2,G|a,0.9,44,44,1,97,152.27,5,0.9098949949144048,4.772135664597623
9,10,2,G|a,0.9,54,54,1,85,133.09,5,0.8853192409964692,4.188387429278969
10,10,2,G|a,0.9,24,24,1,89,138.16,5,0.9164462432346357,4.481102048482369
11,10,2,G|a,0.9,169,169,1,86,135.96,5,0.873126262526684,5.371232483361211
12,10,2,G|a,0.9,80,80,1,90,139.65,5,0.8882314840747212,5.30382211135304
13,10,2,G|a,0.9,167,167,1,78,121.12,5,0.8851476638795049,5.511137918035107
14,10,2,G|a,0.9,29,29,1,69,108.43,5,0.8970957726237831,4.719808993082442
15,10,2,G|a,0.9,176,176,1,101,158.58,5,0.8948132399781505,5.838280299695246
16,10,2,G|a,0.9,213,213,1,60,93.09,5,0.9217838793827233,4.901698317936088
17,10,2,G|a,0.9,78,78,1,89,136.84,5,0.8991300198424108,5.59575152895911
18,10,2,G|a,0.9,236,236,1,76,117.64,5,0.9289603049894569,4.685747676120082
19,10,2,G|a,0.9,93,93,1,72,111.06,5,0.8977668348444544,4.960710564584547
20,10,2,G|a,0.9,230,230,1,88,137.35,5,0.8763854182721657,6.147846735474681
21,10,2,G|a,0.9,23,23,1,92,144.26,5,0.9359812189159507,5.2707405611930565
22,10,2,G|a,0.9,230,230,1,92,143.95,5,0.9068624632183118,5.581981436018363
23,10,2,G|a,0.9,228,228,1,100,156.92,5,0.9070229336409835,4.339678019203003
24,10,2,G|a,0.9,128,128,1,77,121.88,5,0.8856974927349233,5.536306224997971
25,10,2,G|a,0.9,33,33,1,97,154.5,5,0.9067771400860674,4.2526089571531
26,10,2,G|a,0.9,127,127,1,94,147.77,5,0.9231173038623703,4.133706555970615
27,10,2,G|a,0.9,205,205,1,79,123.36,5,0.8723539616575942,4.567725963817351
28,10,2,G|a,0.9,90,90,1,93,147.86,5,0.8773418704863601,5.942126848719945
29,10,2,G|a,0.9,98,98,1,81,128.45,5,0.8835821765345163,5.333770687522745
30,10,2,G|a,0.9,181,181,1,82,127.73,5,0.9097984752011647,4.572800106332456
31,10,2,G|a,0.9,165,165,1,77,119.54,5,0.8788835400599078,4.991226460872495
32,10,2,G|a,0.9,73,73,1,72,113.29,5,0.9030600997351496,4.571055219537266
33,10,2,G|a,0.9,136,136,1,120,191.27,5,0.8524082955123029,4.039474123363623
34,10,2,G|a,0.9,246,246,1,72,112.88,5,0.9088338457019122,5.143480455036238
35,10,2,G|a,0.9,182,182,1,94,147.4,5,0.8856267003752332,4.648692154613808
36,10,2,G|a,0.9,50,50,1,76,118.08,5,0.9136882471077099,5.388434115905481
37,10,2,G|a,0.9,252,252,1,95,151.7,5,0.875288425798168,4.020629338331702
38,10,2,G|a,0.9,183,183,1,63,98.98,5,0.898568314976779,4.841507504310981
39,10,2,G|a,0.9,44,44,1,86,135.97,5,0.9391218182075907,5.4160803911665365
40,10,2,G|a,0.9,9,9,1,101,155.12,5,0.8917174298382806,4.245881030114418
41,10,2,G|a,0.9,30,30,1,62,95.14,5,0.9038578215454414,5.091783847320859
42,10,2,G|a,0.9,188,188,1,76,116.46,5,0.9062734862646431,5.163706990568426
43,10,2,G|a,0.9,32,32,1,85,132.46,5,0.8852959463859301,5.039338489793004
44,10,2,G|a,0.9,177,177,1,72,113.4,5,0.8650849492443707,5.112194924870144
45,10,2,G|a,0.9,207,207,1,84,131.05,5,0.9044194002209633,5.608255934921404
46,10,2,G|a,0.9,203,203,1,105,163.68,5,0.8621083769029577,5.929081425083731
47,10,2,G|a,0.9,110,110,1,86,132.37,5,0.8858208011206506,5.320497094335753
48,10,2,G|a,0.9,167,167,1,105,162.34,5,0.90911956310976,6.322823459826467
49,10,2,G|a,0.9,173,173,1,89,137.94,5,0.9339924334387423,5.4062314192796554
