seed,config_id,stage,unknown_params,G_true,predicted_idx,true_idx,correct,n_steps,wall_time_sec,a_true,q_true,G_fit,a_fit,q_fit
0,15,3,G|a|q,0.9,188,188,1,82,125.09,5,1.0,0.9919036054713586,6.057601958441006,0.9120031267050974
1,15,3,G|a|q,0.9,94,94,1,169,237.85,5,1.0,0.9800185236444477,4.775542061538927,0.8888213811532714
2,15,3,G|a|q,0.9,33,33,1,201,283.18,5,1.0,0.86835195891222,5.891676683863586,1.063865979685124
3,15,3,G|a|q,0.9,43,43,1,201,279.29,5,1.0,0.7585490597877259,5.539405567345836,1.2117180676135344
4,15,3,G|a|q,0.9,5,5,1,143,198.25,5,1.0,0.991740843014929,5.553231596053173,0.8935546969350338
5,15,3,G|a|q,0.9,107,107,1,201,282.45,5,1.0,0.7868139570503724,6.130431538208267,1.1951918562187493
6,15,3,G|a|q,0.9,115,115,1,201,278.9,5,1.0,0.9503768260441728,3.828124463653361,0.9300951452415055
7,15,3,G|a|q,0.9,47,47,1,201,279.81,5,1.0,0.8011300519712917,5.330338618132596,1.1747518773001395
8,15,3,G|a|q,0.9,44,44,1,201,280.46,5,1.0,0.9417318887187907,4.592197781443425,0.9547801466200663
9,15,3,G|a|q,0.9,54,54,1,201,280.38,5,1.0,0.9017784679731995,4.111105974923291,0.974979808816378
10,15,3,G|a|q,0.9,24,24,1,201,278.41,5,1.0,0.6729029054715898,6.085447913418436,1.462385890152027
11,15,3,G|a|q,0.9,169,169,1,134,186.83,5,1.0,0.9934837759746602,4.645630996772347,0.8395998194659768
12,15,3,G|a|q,0.9,157,80,0,201,279.26,5,1.0,0.2224499781381939,3.919244335184169,1.9339594437130296
13,15,3,G|a|q,0.9,167,167,1,170,236.82,5,1.0,0.9854319241525689,4.904490327234324,0.8674145806930502
14,15,3,G|a|q,0.9,29,29,1,190,267.53,5,1.0,0.9625915772606786,4.4113529181828,0.9123086946091502
15,15,3,G|a|q,0.9,176,176,1,88,119.82,5,1.0,0.970223465778084,5.391146381524983,0.9030623078547745
16,15,3,G|a|q,0.9,213,213,1,201,280.6,5,1.0,0.8741606709896037,5.155481573916574,1.0676695147324295
17,15,3,G|a|q,0.9,78,78,1,201,278.47,5,1.0,0.6968377572904756,7.059048122987469,1.3535649346215703
18,15,3,G|a|q,0.9,236,236,1,201,277.89,5,1.0,0.820531677963491,5.335793875950272,1.1655985145593388
19,15,3,G|a|q,0.9,93,93,1,201,280.86,5,1.0,0.7594157146904249,5.829818481160609,1.2252296988691436
20,15,3,G|a|q,0.9,230,230,1,99,134.8,5,1.0,0.9753087402497762,5.541282280539786,0.8768093729774904
21,15,3,G|a|q,0.9,153,23,0,201,277.68,5,1.0,0.997491723290043,6.85130533769504,1.017643422057783
22,15,3,G|a|q,0.9,230,230,1,175,242.71,5,1.0,0.9799449019031491,5.173753603861271,0.9067365184390523
23,15,3,G|a|q,0.9,228,228,1,201,275.79,5,1.0,0.715184143165397,5.5499382720062975,1.3320368018497248
24,15,3,G|a|q,0.9,128,128,1,167,228.97,5,1.0,0.9861001780490417,4.877274163647488,0.8636538434824332
25,15,3,G|a|q,0.9,33,33,1,201,279.16,5,1.0,0.7398934367762486,5.188861697303316,1.2900640107181767
26,15,3,G|a|q,0.9,127,127,1,201,279.37,5,1.0,0.9207209288003271,4.141256937302162,1.0025300610217325
27,15,3,G|a|q,0.9,205,205,1,172,241.67,5,1.0,0.7799402893457437,5.097255379825311,1.152566585336441
28,15,3,G|a|q,0.9,90,90,1,201,282.05,5,1.0,0.8205127258358396,6.296354749781067,1.0831557203946292
29,15,3,G|a|q,0.9,98,98,1,201,284.0,5,1.0,0.861445076943723,5.467103131584972,1.0324767774990256
30,15,3,G|a|q,0.9,181,181,1,195,273.27,5,1.0,0.9583811370027129,4.255133251839318,0.9266804208388354
31,15,3,G|a|q,0.9,165,165,1,192,268.92,5,1.0,0.9574360421315181,4.560216987056333,0.8910221934376441
32,15,3,G|a|q,0.9,73,73,1,156,219.53,5,1.0,0.9862153280994523,4.142379555611408,0.88161307099308
33,15,3,G|a|q,0.9,136,136,1,201,284.57,5,1.0,0.6987681987460223,5.04830152207034,1.2886198477823085
34,15,3,G|a|q,0.9,246,246,1,177,246.81,5,1.0,0.9767193199191723,4.710081712450415,0.90610920756737
35,15,3,G|a|q,0.9,182,182,1,201,280.39,5,1.0,0.9387699638671575,4.3446688643362,0.9237834974637835
36,15,3,G|a|q,0.9,50,50,1,91,125.02,5,1.0,0.9629766421270586,5.093690914880094,0.9331143226572578
37,15,3,G|a|q,0.9,252,252,1,201,281.85,5,1.0,0.6305171036408641,5.482354712305823,1.4964782582298843
38,15,3,G|a|q,0.9,183,183,1,162,229.93,5,1.0,0.9889241721521493,4.203676851717473,0.8745327092845487
39,15,3,G|a|q,0.9,44,44,1,201,283.71,5,1.0,0.9173112052240816,5.5479711301081025,1.0304562825824788
40,15,3,G|a|q,0.9,9,9,1,201,283.06,5,1.0,0.885450659779356,4.27482154522722,1.008961005098416
41,15,3,G|a|q,0.9,30,30,1,152,213.76,5,1.0,0.986485422951387,4.655581378629111,0.8906446320868249
42,15,3,G|a|q,0.9,188,188,1,201,283.74,5,1.0,0.819740969820961,5.698721336532522,1.1325923350710363
43,15,3,G|a|q,0.9,32,32,1,191,270.37,5,1.0,0.9694005203427619,4.479465141178339,0.8787240996036519
44,15,3,G|a|q,0.9,177,177,1,166,233.55,5,1.0,0.9834705626043738,4.4383908480969705,0.8413641529537339
45,15,3,G|a|q,0.9,207,207,1,201,284.19,5,1.0,0.8563244028963154,5.913053908532356,1.070128353562559
46,15,3,G|a|q,0.9,203,203,1,112,156.58,5,1.0,0.9950288280632476,5.075101669865269,0.8294788034007752
47,15,3,G|a|q,0.9,110,110,1,201,282.55,5,1.0,0.7975276121193196,5.866053930229609,1.1345798080049334
48,15,3,G|a|q,0.9,167,167,1,193,269.88,5,1.0,0.96756315821397,5.948348446495597,0.9273565699004737
49,15,3,G|a|q,0.9,173,173,1,201,280.67,5,1.0,0.8304434307024036,6.085204591053528,1.1523945687552146
