seed,config_id,stage,unknown_params,G_true,predicted_idx,true_idx,correct,n_steps,wall_time_sec,a_true,q_true,c_true,G_fit,a_fit,q_fit,c_fit
0,19,4,G|a|q|c,0.7,188,188,1,67,92.21,5,1.0,0.0,0.8141323842264296,5.549956325571167,0.8057180348025952,-0.019244839524147763
1,19,4,G|a|q|c,0.7,94,94,1,201,272.49,5,1.0,0.0,0.6961580474752515,5.439186918366975,1.0235193713831245,-0.24596395274769156
2,19,4,G|a|q|c,0.7,33,33,1,100,132.19,5,1.0,0.0,0.7604045894203327,5.222028627090703,0.8968970329204853,0.11307131165741512
3,19,4,G|a|q|c,0.7,43,43,1,201,272.99,5,1.0,0.0,0.6734646528100456,4.659796733673685,1.011333555427484,0.5502590947992196
4,19,4,G|a|q|c,0.7,5,5,1,151,205.37,5,1.0,0.0,0.8531666649876009,4.884065353122938,0.7807970998824466,-0.11865668215306466
5,19,4,G|a|q|c,0.7,107,107,1,55,71.45,5,1.0,0.0,0.6858487479547778,4.910409908307613,1.0125639083389186,0.04069490431941289
6,19,4,G|a|q|c,0.7,115,115,1,201,269.8,5,1.0,0.0,0.5648515839459547,4.05083701959821,1.3945217372833467,-0.4601047325649002
7,19,4,G|a|q|c,0.7,47,47,1,71,92.92,5,1.0,0.0,0.6924222460125313,4.79228509927661,1.035681220640701,0.18474424142075305
8,19,4,G|a|q|c,0.7,44,44,1,48,57.94,5,1.0,0.0,0.6158022929393588,5.1338256989466196,1.1875758679937356,-0.03738172913114387
9,19,4,G|a|q|c,0.7,54,54,1,201,272.88,5,1.0,0.0,0.5526058966588941,4.807432455551546,1.3294715617955597,-0.270239585610116
10,19,4,G|a|q|c,0.7,24,24,1,201,274.42,5,1.0,0.0,0.6805894627371999,4.508957807989477,1.0466471824841,0.38039600745994284
11,19,4,G|a|q|c,0.7,169,169,1,201,275.14,5,1.0,0.0,0.6603068939341021,4.288012459531069,1.0179034756792822,-0.7763846106224198
12,19,4,G|a|q|c,0.7,97,80,0,201,275.88,5,1.0,0.0,0.20303942798718214,5.347427640645433,-0.7175910841554531,4.099782838659166
13,19,4,G|a|q|c,0.7,167,167,1,75,97.72,5,1.0,0.0,0.763480888794222,4.915437911126606,0.8714756555899867,-0.06502385942971797
14,19,4,G|a|q|c,0.7,29,29,1,89,117.91,5,1.0,0.0,0.6649110679205309,4.788883793348975,1.0704168312202986,-0.05813173526464505
15,19,4,G|a|q|c,0.7,176,176,1,95,126.72,5,1.0,0.0,0.7922294846764929,5.08333106338674,0.843854284268813,-0.05496722479648869
16,19,4,G|a|q|c,0.7,236,213,0,201,271.42,5,1.0,0.0,0.1317295463151614,5.383724141555513,0.01970789325181543,1.8721678603001266
17,19,4,G|a|q|c,0.7,78,78,1,60,77.3,5,1.0,0.0,0.7073563848590668,5.258764963573403,0.9796418063200933,0.030797308944036247
18,19,4,G|a|q|c,0.7,236,236,1,53,64.56,5,1.0,0.0,0.7134752503021623,4.811972300795864,0.991453344056209,0.018963892669203807
19,19,4,G|a|q|c,0.7,93,93,1,99,130.21,5,1.0,0.0,0.6977952068763349,4.99604580277728,0.985138708216898,0.1300593007553449
20,19,4,G|a|q|c,0.7,230,230,1,95,126.71,5,1.0,0.0,0.7946368488422986,5.401351785306122,0.7992011455347291,0.04332788757683541
21,19,4,G|a|q|c,0.7,123,23,0,154,185.95,5,1.0,0.0,0.011307852431913514,3.905027517177937,2.1183866193579375,-0.01870952315602708
22,19,4,G|a|q|c,0.7,239,230,0,201,273.45,5,1.0,0.0,0.3819804240130011,4.917548660309855,1.210329225719291,0.2750008831599867
23,19,4,G|a|q|c,0.7,228,228,1,62,77.65,5,1.0,0.0,0.6929612834583514,5.125289150743178,1.0482479156090467,-0.006051064793997757
24,19,4,G|a|q|c,0.7,128,128,1,201,272.22,5,1.0,0.0,0.6590268492311886,5.4914119397867145,1.0638200744911523,-0.30564225295026015
25,19,4,G|a|q|c,0.7,33,33,1,55,70.44,5,1.0,0.0,0.6636321487075056,4.99989983634443,1.1043849434219235,0.04188585689857916
26,19,4,G|a|q|c,0.7,127,127,1,201,274.53,5,1.0,0.0,0.6053414249979417,4.595868940809273,1.2809153006746223,-0.21918884551584614
27,19,4,G|a|q|c,0.7,205,205,1,78,103.27,5,1.0,0.0,0.6351219313562119,4.915555263411632,1.1089129530344235,0.04176938437718294
28,19,4,G|a|q|c,0.7,90,90,1,99,131.97,5,1.0,0.0,0.7933685188677954,5.329330247445535,0.7979040066556798,0.12831543146386476
29,19,4,G|a|q|c,0.7,98,98,1,201,276.77,5,1.0,0.0,0.8324499376241102,4.387889622001407,0.7409989243234208,0.3999237122707187
30,19,4,G|a|q|c,0.7,181,181,1,59,74.71,5,1.0,0.0,0.6827595930311194,5.073813171802293,1.0694924041613094,-0.022562619472485675
31,19,4,G|a|q|c,0.7,165,165,1,201,274.52,5,1.0,0.0,0.7260356310475179,4.554152997710866,0.9085944140092383,-0.13892860819188296
32,19,4,G|a|q|c,0.7,73,73,1,201,276.87,5,1.0,0.0,0.6871869701804573,4.429650376798195,1.047766418465919,-0.2549943584369867
33,19,4,G|a|q|c,0.7,136,136,1,77,103.05,5,1.0,0.0,0.6132069339111446,4.932436911351609,1.1348119634127942,0.014542253328807184
34,19,4,G|a|q|c,0.7,246,246,1,201,274.17,5,1.0,0.0,0.6260524503384688,5.495527916633525,1.1751531085950846,-0.22271657071571418
35,19,4,G|a|q|c,0.7,182,182,1,56,68.96,5,1.0,0.0,0.6106637132885098,5.057622109336292,1.1874592357704816,0.0011945779779076835
36,19,4,G|a|q|c,0.7,50,50,1,72,93.87,5,1.0,0.0,0.7622706357228328,4.834035514527847,0.8847152414141758,0.019125673464137568
37,19,4,G|a|q|c,0.7,252,252,1,65,83.32,5,1.0,0.0,0.6599557865362988,4.776576634839327,1.09481720250473,-0.011684378127742319
38,19,4,G|a|q|c,0.7,183,183,1,45,55.92,5,1.0,0.0,0.6885794087374538,4.985405268308611,1.022964835104465,0.010022809073049598
39,19,4,G|a|q|c,0.7,44,44,1,161,218.71,5,1.0,0.0,0.8492400568234794,4.9769296246025485,0.8223085816456406,0.11637643321928896
40,19,4,G|a|q|c,0.7,9,9,1,62,80.2,5,1.0,0.0,0.7017313893670322,4.992883806045496,1.024991937585736,-0.021951580483700085
41,19,4,G|a|q|c,0.7,226,30,0,201,265.32,5,1.0,0.0,0.028272177755395488,4.435207710015737,1.487508795808259,-0.41557731376762175
42,19,4,G|a|q|c,0.7,188,188,1,78,101.23,5,1.0,0.0,0.698722686123545,5.333858522578788,1.0119000847451582,0.05503791775578238
43,19,4,G|a|q|c,0.7,32,32,1,201,274.01,5,1.0,0.0,0.6441883577722652,4.438793230651168,1.0875446189331506,-0.3336582364070777
44,19,4,G|a|q|c,0.7,177,177,1,58,75.41,5,1.0,0.0,0.675381895873533,5.072488234570887,1.0162562581008485,-0.09011650229110071
45,19,4,G|a|q|c,0.7,207,207,1,201,272.91,5,1.0,0.0,0.8334667714119439,4.983244516979636,0.7983313602219151,0.15360372558173901
46,19,4,G|a|q|c,0.7,203,203,1,59,76.65,5,1.0,0.0,0.7838474981239756,5.079156935056095,0.8149304893603571,-0.020351560300221203
47,19,4,G|a|q|c,0.7,110,110,1,68,85.89,5,1.0,0.0,0.6289718006839393,5.117802158943652,1.1076720093654984,0.0058092825564116475
48,19,4,G|a|q|c,0.7,167,167,1,72,89.87,5,1.0,0.0,0.7086199413232422,4.970300973110466,0.9309837904899838,-0.01747732635512876
49,19,4,G|a|q|c,0.7,142,173,0,201,267.78,5,1.0,0.0,0.9916078285399921,5.579360137110251,0.5426499960450778,2.042427053904381
