seed,config_id,stage,unknown_params,G_true,predicted_idx,true_idx,correct,n_steps,wall_time_sec,q_true,G_fit,q_fit
0,24,5,G|q,0.7,188,188,1,88,166.75,1.0,0.9829239716776311,0.6484659844650068
1,24,5,G|q,0.7,94,94,1,62,105.99,1.0,0.7534145814932219,0.9077134191494076
2,24,5,G|q,0.7,33,33,1,72,122.83,1.0,0.8420411378463615,0.8031570255329757
3,24,5,G|q,0.7,43,43,1,107,183.18,1.0,0.6363718139248031,1.1056923966996994
4,24,5,G|q,0.7,5,5,1,154,263.3,1.0,0.9412683353573935,0.6879886161005241
5,24,5,G|q,0.7,107,107,1,108,190.49,1.0,0.7919206159300033,0.8826376256601313
6,24,5,G|q,0.7,115,115,1,106,187.23,1.0,0.5399189648862897,1.4003396138200317
7,24,5,G|q,0.7,47,47,1,75,128.15,1.0,0.6545123737489057,1.1186535858714328
8,24,5,G|q,0.7,44,44,1,80,134.44,1.0,0.6707963644466706,1.0797606004873828
9,24,5,G|q,0.7,54,54,1,96,163.91,1.0,0.5335874666534284,1.3751287401265906
10,24,5,G|q,0.7,24,24,1,75,126.35,1.0,0.5929929349877311,1.2639330033196197
11,24,5,G|q,0.7,169,169,1,90,155.2,1.0,0.762726528848481,0.8411322529149071
12,24,5,G|q,0.7,80,80,1,88,149.93,1.0,0.7203292171091307,0.9435219316909799
13,24,5,G|q,0.7,167,167,1,76,128.99,1.0,0.7761426692786477,0.8537418537754105
14,24,5,G|q,0.7,29,29,1,90,153.93,1.0,0.6343628282495583,1.1267131711803091
15,24,5,G|q,0.7,176,176,1,89,155.34,1.0,0.8678592536197133,0.751278362174983
16,24,5,G|q,0.7,213,213,1,88,151.49,1.0,0.7006043232966502,1.039574993597536
17,24,5,G|q,0.7,78,78,1,99,168.01,1.0,0.7749096817074124,0.8687440165866639
18,24,5,G|q,0.7,236,236,1,87,152.02,1.0,0.683532723533737,1.0941838275638367
19,24,5,G|q,0.7,93,93,1,87,153.25,1.0,0.6764769773588403,1.0378479519754433
20,24,5,G|q,0.7,230,230,1,98,172.72,1.0,0.9141830226520878,0.6798174646931608
21,24,5,G|q,0.7,23,23,1,96,168.28,1.0,0.8063932801600219,0.8906143376289885
22,24,5,G|q,0.7,230,230,1,88,156.35,1.0,0.8268055578257769,0.8170891858730887
23,24,5,G|q,0.7,228,228,1,107,188.26,1.0,0.5590878590348269,1.3450768312299475
24,24,5,G|q,0.7,128,128,1,65,115.34,1.0,0.7799073584330183,0.8469993011735781
25,24,5,G|q,0.7,33,33,1,85,147.67,1.0,0.5803588108629721,1.2965972557124479
26,24,5,G|q,0.7,127,127,1,87,150.78,1.0,0.5571333072867661,1.4052396885840621
27,24,5,G|q,0.7,205,205,1,107,189.83,1.0,0.5928867357849565,1.1907751605055745
28,24,5,G|q,0.7,90,90,1,99,173.68,1.0,0.8269056579160126,0.7718597496283963
29,24,5,G|q,0.7,98,98,1,85,151.04,1.0,0.747703225672948,0.8889804200760039
30,24,5,G|q,0.7,181,181,1,78,135.92,1.0,0.6495961737884609,1.1320608702408768
31,24,5,G|q,0.7,165,165,1,119,210.43,1.0,0.6823650421379582,0.9891397491026759
32,24,5,G|q,0.7,73,73,1,90,158.76,1.0,0.6401539558495669,1.1519407625980025
33,24,5,G|q,0.7,136,136,1,110,193.52,1.0,0.4404512942822542,1.6328062838290789
34,24,5,G|q,0.7,246,246,1,86,146.73,1.0,0.7396519819962302,0.9486384482150266
35,24,5,G|q,0.7,182,182,1,80,133.81,1.0,0.6123267584456072,1.147802145748686
36,24,5,G|q,0.7,50,50,1,97,164.18,1.0,0.7898989535671703,0.8844071219526618
37,24,5,G|q,0.7,252,252,1,109,182.56,1.0,0.45250358424688586,1.6484724099334371
38,24,5,G|q,0.7,183,183,1,75,124.55,1.0,0.7080471915084732,0.9910704174195188
39,24,5,G|q,0.7,44,44,1,96,162.24,1.0,0.8429312428265024,0.8505982669350983
40,24,5,G|q,0.7,9,9,1,118,200.44,1.0,0.5084897453915025,1.4701128661653065
41,24,5,G|q,0.7,30,30,1,95,160.58,1.0,0.7187882905010433,0.9696577892045539
42,24,5,G|q,0.7,188,188,1,94,159.56,1.0,0.7508284014526745,0.928699751190676
43,24,5,G|q,0.7,32,32,1,97,164.82,1.0,0.689316042236579,0.995813556250336
44,24,5,G|q,0.7,177,177,1,81,137.37,1.0,0.6578561153975264,0.9959826589090295
45,24,5,G|q,0.7,207,207,1,80,136.0,1.0,0.8345976763113477,0.8076280405593914
46,24,5,G|q,0.7,203,203,1,79,134.21,1.0,0.8073559743341958,0.7586803728919088
47,24,5,G|q,0.7,110,110,1,96,161.33,1.0,0.7454677097477679,0.8945562636731367
48,24,5,G|q,0.7,167,167,1,133,228.31,1.0,0.9631812563784988,0.6572409627714872
49,24,5,G|q,0.7,173,173,1,82,139.83,1.0,0.8220742819233955,0.8765911085159226
