seed,config_id,stage,unknown_params,G_true,predicted_idx,true_idx,correct,n_steps,wall_time_sec,G_fit
0,3,1,G,0.5,188,188,1,74,181.33,0.49962301647635354
1,3,1,G,0.5,94,94,1,50,109.36,0.5003248521210956
2,3,1,G,0.5,33,33,1,56,119.37,0.500133040256925
3,3,1,G,0.5,43,43,1,54,114.96,0.500490979767023
4,3,1,G,0.5,5,5,1,63,133.54,0.5007846341953189
5,3,1,G,0.5,107,107,1,54,110.53,0.5003817038976123
6,3,1,G,0.5,115,115,1,54,111.2,0.503011379846215
7,3,1,G,0.5,47,47,1,53,110.29,0.5011356899536143
8,3,1,G,0.5,44,44,1,86,177.19,0.5016195680336172
9,3,1,G,0.5,54,54,1,73,148.7,0.5010289061950376
10,3,1,G,0.5,24,24,1,81,163.92,0.500924305163277
11,3,1,G,0.5,169,169,1,84,168.67,0.5017567979235197
12,3,1,G,0.5,80,80,1,58,115.41,0.5000711189258652
13,3,1,G,0.5,167,167,1,68,138.05,0.5003388531842127
14,3,1,G,0.5,29,29,1,58,118.71,0.5017299097277612
15,3,1,G,0.5,176,176,1,51,103.36,0.5024758286131652
16,3,1,G,0.5,213,213,1,62,125.8,0.501065514637258
17,3,1,G,0.5,78,78,1,55,111.22,0.5005104160206635
18,3,1,G,0.5,236,236,1,67,134.77,0.5023615688704758
19,3,1,G,0.5,93,93,1,60,118.26,0.5001302876745999
20,3,1,G,0.5,230,230,1,90,183.28,0.5061318059937215
21,3,1,G,0.5,23,23,1,96,196.61,0.5015025256009126
22,3,1,G,0.5,230,230,1,51,105.37,0.49926859478936797
23,3,1,G,0.5,228,228,1,70,145.13,0.5012876118688792
24,3,1,G,0.5,128,128,1,49,102.36,0.4999195877931336
25,3,1,G,0.5,33,33,1,80,168.39,0.5021648538821253
26,3,1,G,0.5,127,127,1,66,138.76,0.5013294162678041
27,3,1,G,0.5,205,205,1,73,152.72,0.4998786276032158
28,3,1,G,0.5,90,90,1,60,125.05,0.5001670574623192
29,3,1,G,0.5,98,98,1,54,113.08,0.49992517135004905
30,3,1,G,0.5,181,181,1,76,155.93,0.5011712607395087
31,3,1,G,0.5,165,165,1,58,120.13,0.502339909778323
32,3,1,G,0.5,73,73,1,75,153.27,0.5022437491847819
33,3,1,G,0.5,136,136,1,58,117.62,0.5004446798063411
34,3,1,G,0.5,246,246,1,67,137.47,0.5003836959768885
35,3,1,G,0.5,182,182,1,54,110.43,0.5006948161685187
36,3,1,G,0.5,50,50,1,61,122.66,0.4997495846072487
37,3,1,G,0.5,252,252,1,86,175.56,0.5030405960478004
38,3,1,G,0.5,183,183,1,57,114.76,0.5007722049514141
39,3,1,G,0.5,44,44,1,57,116.1,0.500117561005851
40,3,1,G,0.5,9,9,1,83,171.89,0.5031727750544187
41,3,1,G,0.5,30,30,1,79,161.97,0.5020336432705046
42,3,1,G,0.5,188,188,1,54,111.55,0.5006200819181602
43,3,1,G,0.5,32,32,1,60,124.62,0.5006138463719844
44,3,1,G,0.5,177,177,1,54,117.44,0.49988821722201776
45,3,1,G,0.5,207,207,1,50,103.56,0.500102834912407
46,3,1,G,0.5,203,203,1,77,164.0,0.5042645018273068
47,3,1,G,0.5,110,110,1,61,133.59,0.5000159701456649
48,3,1,G,0.5,167,167,1,55,113.37,0.5006976783955234
49,3,1,G,0.5,173,173,1,64,129.45,0.5016532398146893
