seed,config_id,stage,unknown_params,G_true,predicted_idx,true_idx,correct,n_steps,wall_time_sec,a_true,G_fit,a_fit
0,8,2,G|a,0.5,188,188,1,117,273.14,5,0.5000134089610926,4.9997698314725545
1,8,2,G|a,0.5,94,94,1,78,164.41,5,0.4997628532775229,4.99927407258407
2,8,2,G|a,0.5,33,33,1,94,187.98,5,0.5000685917207743,4.999748245225336
3,8,2,G|a,0.5,43,43,1,82,166.79,5,0.49982835135781595,4.999980235073771
4,8,2,G|a,0.5,5,5,1,103,207.26,5,0.49993605665266405,4.999544536443658
5,8,2,G|a,0.5,107,107,1,99,199.5,5,0.5001395433448698,4.999920499210462
6,8,2,G|a,0.5,115,115,1,97,192.8,5,0.499913093840181,4.999263737699914
7,8,2,G|a,0.5,47,47,1,71,142.15,5,0.4998135843262783,4.9997698197866205
8,8,2,G|a,0.5,44,44,1,91,181.49,5,0.5001238302839758,5.000375123432143
9,8,2,G|a,0.5,54,54,1,106,211.71,5,0.5000415603675936,5.000218832876284
10,8,2,G|a,0.5,24,24,1,136,273.7,5,0.5000456550005571,4.999832354714157
11,8,2,G|a,0.5,169,169,1,96,191.71,5,0.5001332264937292,4.999744672359289
12,8,2,G|a,0.5,80,80,1,71,140.13,5,0.5002113656098532,5.0003002686483695
13,8,2,G|a,0.5,167,167,1,98,195.25,5,0.499996990773,5.000075280295152
14,8,2,G|a,0.5,29,29,1,112,224.59,5,0.4999848828718362,5.000046058702196
15,8,2,G|a,0.5,176,176,1,112,224.2,5,0.5000655641972921,4.9996778329484
16,8,2,G|a,0.5,213,213,1,121,240.68,5,0.5000241157572511,5.000175410752518
17,8,2,G|a,0.5,78,78,1,116,232.5,5,0.49996925726252134,5.000260574661341
18,8,2,G|a,0.5,236,236,1,97,192.79,5,0.5001419512386889,5.000286291841047
19,8,2,G|a,0.5,93,93,1,72,141.82,5,0.4998414780638953,4.999881744480477
20,8,2,G|a,0.5,230,230,1,107,209.03,5,0.500000611994752,5.000525564434248
21,8,2,G|a,0.5,23,23,1,121,240.09,5,0.5001866893736782,4.999801450525414
22,8,2,G|a,0.5,230,230,1,88,173.21,5,0.5000629294222224,4.999988288402478
23,8,2,G|a,0.5,228,228,1,115,229.47,5,0.5000631162095438,4.999433322168768
24,8,2,G|a,0.5,128,128,1,69,135.99,5,0.49993430451191934,4.999984359791003
25,8,2,G|a,0.5,33,33,1,109,214.54,5,0.500059205613434,5.000023408372671
26,8,2,G|a,0.5,127,127,1,88,174.88,5,0.49999696220813783,5.003900638991367
27,8,2,G|a,0.5,205,205,1,103,203.24,5,0.5000136485714668,4.999834254634413
28,8,2,G|a,0.5,90,90,1,100,197.16,5,0.5000608984255213,4.9999968856475006
29,8,2,G|a,0.5,98,98,1,74,145.69,5,0.4998457425011557,4.997095332649309
30,8,2,G|a,0.5,181,181,1,84,165.89,5,0.5007715076064326,5.002288001943209
31,8,2,G|a,0.5,165,165,1,81,159.11,5,0.49995894868769303,4.999809427352932
32,8,2,G|a,0.5,73,73,1,82,159.68,5,0.49997323199723426,5.000113855732294
33,8,2,G|a,0.5,136,136,1,94,184.97,5,0.4999501440577949,5.0002433130047566
34,8,2,G|a,0.5,246,246,1,84,167.05,5,0.49992356763810014,5.000086047500188
35,8,2,G|a,0.5,182,182,1,107,211.46,5,0.4999718701472831,4.999830393487352
36,8,2,G|a,0.5,50,50,1,94,183.94,5,0.5000505259198362,5.000120652305857
37,8,2,G|a,0.5,252,252,1,122,242.65,5,0.5000629251868494,4.999292672914935
38,8,2,G|a,0.5,183,183,1,61,120.03,5,0.5001558210982084,4.997036812831093
39,8,2,G|a,0.5,44,44,1,115,232.49,5,0.4999919105278445,4.999915708362527
40,8,2,G|a,0.5,9,9,1,109,224.51,5,0.5001620155438384,5.000091828563756
41,8,2,G|a,0.5,30,30,1,91,187.67,5,0.5003014747687541,4.9986005327561776
42,8,2,G|a,0.5,188,188,1,87,180.41,5,0.5001088443112606,5.000318995603087
43,8,2,G|a,0.5,32,32,1,92,188.23,5,0.499945423244088,4.999489718536537
44,8,2,G|a,0.5,177,177,1,96,190.52,5,0.4998401913036352,5.000456293752777
45,8,2,G|a,0.5,207,207,1,100,197.06,5,0.49996275569251225,5.000102114854796
46,8,2,G|a,0.5,203,203,1,77,140.38,5,0.5002572886086608,4.999862674503652
47,8,2,G|a,0.5,110,110,1,68,133.49,5,0.5000302406866217,5.0003808363146645
48,8,2,G|a,0.5,167,167,1,98,186.44,5,0.499893978737756,4.996197848294312
49,8,2,G|a,0.5,173,173,1,103,188.63,5,0.5000142218017742,5.000037172391417
