seed,config_id,stage,unknown_params,G_true,predicted_idx,true_idx,correct,n_steps,wall_time_sec,a_true,q_true,G_fit,a_fit,q_fit
0,15,3,G|a|q,0.9,188,188,1,95,261.83,5,1.0,0.8998852768944889,5.000204997272595,0.9995059133895697
1,15,3,G|a|q,0.9,94,94,1,86,221.44,5,1.0,0.9000353990181332,4.998768939821846,0.9998499392287953
2,15,3,G|a|q,0.9,33,33,1,201,513.02,5,1.0,0.9007156724240737,4.85441006219245,0.9989334310792536
3,15,3,G|a|q,0.9,43,43,1,93,236.62,5,1.0,0.9000321022099453,4.998237806620286,1.0000297801951028
4,15,3,G|a|q,0.9,5,5,1,201,514.92,5,1.0,0.9012376279697952,4.625876251061551,0.9974175221678172
5,15,3,G|a|q,0.9,107,107,1,201,511.71,5,1.0,0.9004828315119143,4.977772714267864,0.9998377535480372
6,15,3,G|a|q,0.9,115,115,1,201,503.56,5,1.0,0.9005791246324096,4.88089070391687,0.9991900600934875
7,15,3,G|a|q,0.9,47,47,1,168,424.63,5,1.0,0.9001538432530531,4.997577439086754,0.9999825789382192
8,15,3,G|a|q,0.9,44,44,1,158,404.54,5,1.0,0.900181053501242,4.998809079842215,0.9999984529275523
9,15,3,G|a|q,0.9,54,54,1,201,510.29,5,1.0,0.9007740298924565,4.947416315652542,0.9996435765702534
10,15,3,G|a|q,0.9,24,24,1,201,511.24,5,1.0,0.900999416106849,4.835309945041073,0.9988336464046172
11,15,3,G|a|q,0.9,169,169,1,201,505.69,5,1.0,0.9005518507908485,4.91050731819629,0.9993764226298233
12,15,3,G|a|q,0.9,80,80,1,201,507.38,5,1.0,0.9006236510845654,4.861016951685502,0.9990289249725065
13,15,3,G|a|q,0.9,167,167,1,112,284.91,5,1.0,0.9000308374228305,4.998647753588787,1.0005333650386399
14,15,3,G|a|q,0.9,29,29,1,201,512.07,5,1.0,0.9002471623528289,4.9168920683290915,0.9994159419516083
15,15,3,G|a|q,0.9,176,176,1,130,334.36,5,1.0,0.9000992577319797,4.996685915896639,0.9999038784915879
16,15,3,G|a|q,0.9,213,213,1,201,506.43,5,1.0,0.9020153039496547,4.733110201886132,0.9979993285228842
17,15,3,G|a|q,0.9,78,78,1,201,504.79,5,1.0,0.9004575357283962,4.8313944026889155,0.9988520193749669
18,15,3,G|a|q,0.9,236,236,1,182,460.97,5,1.0,0.9001178869869637,4.991782228598121,0.999976322216918
19,15,3,G|a|q,0.9,93,93,1,201,508.86,5,1.0,0.9015422254051217,4.838432054504022,0.9988870737727884
20,15,3,G|a|q,0.9,230,230,1,201,508.71,5,1.0,0.9017796898291465,4.748112611122618,0.9980935253495682
21,15,3,G|a|q,0.9,23,23,1,201,504.56,5,1.0,0.9026324446885545,4.7939941262633905,0.9985460801480575
22,15,3,G|a|q,0.9,230,230,1,201,505.12,5,1.0,0.9007086889025206,4.931765956446872,0.9995093291498114
23,15,3,G|a|q,0.9,228,228,1,201,511.56,5,1.0,0.9006205149995387,4.919253856966149,0.9994524593158082
24,15,3,G|a|q,0.9,128,128,1,90,228.59,5,1.0,0.9000178352471218,4.998463378014171,1.0000543827778492
