seed,config_id,stage,unknown_params,G_true,predicted_idx,true_idx,correct,n_steps,wall_time_sec,a_true,q_true,c_true,G_fit,a_fit,q_fit,c_fit
0,16,4,G|a|q|c,0.1,188,188,1,201,381.07,5,1.0,0.0,0.2213254484112497,5.503017580933265,1.004432672358875,-0.006266619235135828
1,16,4,G|a|q|c,0.1,94,94,1,201,368.5,5,1.0,0.0,0.1158945517837321,3.706700884900306,0.9837332110672495,0.015866584660423167
2,16,4,G|a|q|c,0.1,33,33,1,201,361.14,5,1.0,0.0,0.16534399468623703,5.241968395098248,1.0016916229839175,-0.009553804040164295
3,16,4,G|a|q|c,0.1,43,43,1,201,352.9,5,1.0,0.0,0.18887952038870373,5.080324062539187,0.9982442289188344,0.00041481528944661974
4,16,4,G|a|q|c,0.1,5,5,1,201,348.44,5,1.0,0.0,0.18789853862157835,4.865052994995725,0.9997676099396344,-0.0001104800918221778
5,16,4,G|a|q|c,0.1,107,107,1,201,360.93,5,1.0,0.0,0.10849979943665608,4.057311762908041,0.9905390345132153,0.004756487545221509
6,16,4,G|a|q|c,0.1,115,115,1,201,363.21,5,1.0,0.0,0.18150279912974318,5.69246683451012,0.9969389834586494,-0.00310929646808843
7,16,4,G|a|q|c,0.1,47,47,1,102,180.23,5,1.0,0.0,0.12190159813525302,4.876907941307884,0.9997577861369481,0.003169048950086264
8,16,4,G|a|q|c,0.1,44,44,1,201,356.38,5,1.0,0.0,0.1738673172921198,5.447383944554157,0.9998718435984802,-0.01680896384571629
9,16,4,G|a|q|c,0.1,54,54,1,201,355.77,5,1.0,0.0,0.18710873985788484,4.681176015671606,0.9933694598881808,-0.004050615170489377
10,16,4,G|a|q|c,0.1,24,24,1,201,359.96,5,1.0,0.0,0.1327940016187204,5.311857671276912,1.0027171566952067,0.007943535651329329
11,16,4,G|a|q|c,0.1,169,169,1,201,356.61,5,1.0,0.0,0.8373860074435004,5.589530831828649,1.0048344421938438,-0.008629066023365594
12,16,4,G|a|q|c,0.1,80,80,1,201,354.46,5,1.0,0.0,0.10336522009880487,4.82467130303836,0.9997386829157103,0.0005258339047211947
13,16,4,G|a|q|c,0.1,167,167,1,201,352.21,5,1.0,0.0,0.6431427306943197,3.9483733070294207,1.0011758001454674,0.005873995041676257
14,16,4,G|a|q|c,0.1,29,29,1,201,357.43,5,1.0,0.0,0.11338121777645385,5.230544697938065,1.0016770985267163,-0.0001262077462974609
15,16,4,G|a|q|c,0.1,176,176,1,201,361.13,5,1.0,0.0,0.15477438503082688,4.984292978582052,1.0016222947796867,-0.0013318147371779638
16,16,4,G|a|q|c,0.1,213,213,1,100,173.84,5,1.0,0.0,0.1264542347823673,4.800035748706905,0.9984279284138806,0.0002920594097967212
17,16,4,G|a|q|c,0.1,78,78,1,201,366.5,5,1.0,0.0,0.11231278748568592,5.190745575852705,1.002186899798466,0.0007428494862141342
18,16,4,G|a|q|c,0.1,236,236,1,201,376.98,5,1.0,0.0,0.11233849273449634,3.777399062392416,0.9863080677792084,0.010314410745211519
19,16,4,G|a|q|c,0.1,93,93,1,192,358.68,5,1.0,0.0,0.10032853331610923,5.040244037017238,1.0002957829963102,0.001943745514403259
20,16,4,G|a|q|c,0.1,230,230,1,201,372.68,5,1.0,0.0,0.38054910472599546,5.201406161179222,1.0041083938550504,-0.006302272162650322
21,16,4,G|a|q|c,0.1,23,23,1,201,377.22,5,1.0,0.0,0.10594398159628274,3.723213229237081,0.9860873904795359,0.015416641712536911
22,16,4,G|a|q|c,0.1,230,230,1,183,332.69,5,1.0,0.0,0.05942002457724486,5.142416388202052,1.0021034367413175,-0.010041100281346534
23,16,4,G|a|q|c,0.1,228,228,1,201,381.06,5,1.0,0.0,0.2498193908884076,5.655903907883483,1.000367733330228,-0.033044474257340924
24,16,4,G|a|q|c,0.1,128,128,1,201,372.66,5,1.0,0.0,0.11314608309946461,5.083593672535656,1.0020864254570916,-0.0017376201402835405
25,16,4,G|a|q|c,0.1,33,33,1,201,359.5,5,1.0,0.0,0.10888439497241481,5.011863695849522,1.0006547702960835,0.00018755489106094344
