seed,config_id,stage,unknown_params,G_true,predicted_idx,true_idx,correct,n_steps,wall_time_sec,q_true,G_fit,q_fit
0,25,5,G|q,0.9,188,188,1,104,402.75,1.0,0.9001105364257239,0.9996776402812553
1,25,5,G|q,0.9,94,94,1,79,295.22,1.0,0.9000718827625473,0.9998007451736487
2,25,5,G|q,0.9,33,33,1,56,211.34,1.0,0.9001404523453989,1.0003019492268446
3,25,5,G|q,0.9,43,43,1,98,370.9,1.0,0.9001072057923539,0.9999874330324962
4,25,5,G|q,0.9,5,5,1,84,317.56,1.0,0.900884286834553,1.0000482031718514
5,25,5,G|q,0.9,107,107,1,67,250.55,1.0,0.8996687126212941,1.0011634444952622
6,25,5,G|q,0.9,115,115,1,84,318.63,1.0,0.8996995589271471,1.000108531368149
7,25,5,G|q,0.9,47,47,1,83,313.82,1.0,0.9000370095747234,1.0002437916452687
8,25,5,G|q,0.9,44,44,1,99,371.52,1.0,0.9001178469041834,0.9994819927847624
9,25,5,G|q,0.9,54,54,1,65,243.42,1.0,0.9002789140518047,1.0002338541958535
10,25,5,G|q,0.9,24,24,1,128,531.53,1.0,0.9001440281709812,0.9996208334175024
11,25,5,G|q,0.9,169,169,1,85,359.22,1.0,0.9002831299315677,1.0003264833030032
12,25,5,G|q,0.9,80,80,1,84,347.31,1.0,0.900076034805236,0.9996404939809141
13,25,5,G|q,0.9,167,167,1,61,254.6,1.0,0.8999674197865445,1.0000182188961366
14,25,5,G|q,0.9,29,29,1,104,430.2,1.0,0.9001456285881175,1.0004460377242574
15,25,5,G|q,0.9,176,176,1,85,346.29,1.0,0.8999777671005532,1.0002631714156163
16,25,5,G|q,0.9,213,213,1,84,348.14,1.0,0.9000175909245959,0.9995055219434688
17,25,5,G|q,0.9,78,78,1,60,247.53,1.0,0.9000436366343978,0.999405910506225
18,25,5,G|q,0.9,236,236,1,64,256.04,1.0,0.9004296233693272,0.9997942964005773
19,25,5,G|q,0.9,93,93,1,61,246.48,1.0,0.9000802574853582,0.9998663835227164
20,25,5,G|q,0.9,230,230,1,77,311.45,1.0,0.9002074857677941,1.0002555411632337
21,25,5,G|q,0.9,23,23,1,74,256.62,1.0,0.9010199922706005,1.000310239468948
22,25,5,G|q,0.9,230,230,1,68,207.55,1.0,0.9000060488676868,1.0000210406135008
23,25,5,G|q,0.9,228,228,1,84,253.11,1.0,0.900188990861141,1.0004644423123252
24,25,5,G|q,0.9,128,128,1,60,171.7,1.0,0.9000230588485508,1.0007323786926192
25,25,5,G|q,0.9,33,33,1,59,176.04,1.0,0.9003523896768593,0.9996002174382269
26,25,5,G|q,0.9,127,127,1,84,262.09,1.0,0.9001469337201788,0.9996596904842417
27,25,5,G|q,0.9,205,205,1,92,287.12,1.0,0.9000934211920536,1.0000447741555598
28,25,5,G|q,0.9,90,90,1,84,263.15,1.0,0.9001138258360533,0.9997860307654588
29,25,5,G|q,0.9,98,98,1,74,241.86,1.0,0.9000466052573038,0.9995306106544892
30,25,5,G|q,0.9,181,181,1,71,217.91,1.0,0.900249215507507,0.9996612695157376
31,25,5,G|q,0.9,165,165,1,89,286.19,1.0,0.9007135971674195,1.0000665465547969
32,25,5,G|q,0.9,73,73,1,61,188.23,1.0,0.9002335333547014,0.9995502676365954
33,25,5,G|q,0.9,136,136,1,101,332.82,1.0,0.9001814591830566,0.9994761694626161
34,25,5,G|q,0.9,246,246,1,82,275.93,1.0,0.9000880370472137,1.0003554942581974
35,25,5,G|q,0.9,182,182,1,83,290.98,1.0,0.9000566124345434,1.000387251340569
36,25,5,G|q,0.9,50,50,1,83,282.02,1.0,0.9000280914157087,1.0001317121341549
37,25,5,G|q,0.9,252,252,1,104,360.76,1.0,0.9001055796377362,0.9997273185643023
38,25,5,G|q,0.9,183,183,1,65,225.52,1.0,0.9000436017075212,1.0007556513470708
39,25,5,G|q,0.9,44,44,1,70,246.64,1.0,0.9000162504242312,1.0000762859720345
40,25,5,G|q,0.9,9,9,1,68,236.55,1.0,0.9002747842991912,1.0000730570822158
41,25,5,G|q,0.9,30,30,1,84,289.18,1.0,0.9001081686375656,0.9997440694458011
42,25,5,G|q,0.9,188,188,1,60,204.96,1.0,0.9000185249298847,0.9994054525455013
43,25,5,G|q,0.9,32,32,1,59,198.12,1.0,0.9000420814142931,0.999720849712209
44,25,5,G|q,0.9,177,177,1,71,233.61,1.0,0.9000610907002762,1.0004099995087217
45,25,5,G|q,0.9,207,207,1,84,272.17,1.0,0.9000211370849458,1.0001782612040375
46,25,5,G|q,0.9,203,203,1,68,222.08,1.0,0.9000239815539656,1.00040805450931
47,25,5,G|q,0.9,110,110,1,128,428.59,1.0,0.9003269173140735,0.9995592721089706
48,25,5,G|q,0.9,167,167,1,65,208.82,1.0,0.9002081691388979,0.9996679071697967
49,25,5,G|q,0.9,173,173,1,81,262.49,1.0,0.9001132450215655,1.0005723425855695
