seed,config_id,stage,unknown_params,G_true,predicted_idx,true_idx,correct,n_steps,wall_time_sec,G_fit
0,4,1,G,0.7,188,188,1,54,42.81,0.8320280568352864
1,4,1,G,0.7,94,94,1,49,34.07,0.7278655870852125
2,4,1,G,0.7,33,33,1,52,35.83,0.7474356235084917
3,4,1,G,0.7,43,43,1,55,37.26,0.6621438013274417
4,4,1,G,0.7,5,5,1,53,35.8,0.6999406876681018
5,4,1,G,0.7,107,107,1,52,35.32,0.667514555102401
6,4,1,G,0.7,115,115,1,57,38.69,0.6605220374703493
7,4,1,G,0.7,47,47,1,48,33.03,0.6720457465475264
8,4,1,G,0.7,44,44,1,57,38.83,0.6494288374320109
9,4,1,G,0.7,54,54,1,52,35.57,0.6900492720335614
10,4,1,G,0.7,24,24,1,61,40.92,0.6620237246426675
11,4,1,G,0.7,169,169,1,63,41.85,0.6970182650785192
12,4,1,G,0.7,80,80,1,53,35.45,0.7721484834906737
13,4,1,G,0.7,167,167,1,53,35.4,0.7242181334947458
14,4,1,G,0.7,29,29,1,52,33.03,0.6725273986447315
15,4,1,G,0.7,176,176,1,51,33.87,0.7658999330282493
16,4,1,G,0.7,213,213,1,50,34.4,0.7116607604741069
17,4,1,G,0.7,78,78,1,53,36.73,0.7368253346547309
18,4,1,G,0.7,236,236,1,56,38.38,0.6994779546543747
19,4,1,G,0.7,93,93,1,53,36.67,0.7064456956551637
20,4,1,G,0.7,230,230,1,52,35.85,0.7242662355051265
21,4,1,G,0.7,23,23,1,51,34.76,0.7164735436879041
22,4,1,G,0.7,230,230,1,52,34.67,0.7319671687206438
23,4,1,G,0.7,228,228,1,55,37.6,0.7198034113972889
24,4,1,G,0.7,128,128,1,52,35.18,0.7704808314328547
25,4,1,G,0.7,33,33,1,54,36.54,0.6917031316848115
26,4,1,G,0.7,127,127,1,56,38.57,0.6328763243824097
27,4,1,G,0.7,205,205,1,49,32.72,0.6849050406337276
28,4,1,G,0.7,90,90,1,59,39.63,0.7676751725234671
29,4,1,G,0.7,98,98,1,53,34.28,0.66256379050777
30,4,1,G,0.7,181,181,1,47,30.91,0.706358300423907
31,4,1,G,0.7,165,165,1,62,41.78,0.6505278988283606
32,4,1,G,0.7,73,73,1,53,35.81,0.6855719742599697
33,4,1,G,0.7,136,136,1,54,36.96,0.653838661146069
34,4,1,G,0.7,246,246,1,57,39.18,0.7375247710043091
35,4,1,G,0.7,182,182,1,51,34.77,0.6371530076538806
36,4,1,G,0.7,50,50,1,49,33.82,0.7223738326189104
37,4,1,G,0.7,252,252,1,59,40.47,0.660225665520423
38,4,1,G,0.7,183,183,1,49,33.43,0.6936494880017572
39,4,1,G,0.7,44,44,1,52,35.77,0.6652488973156246
40,4,1,G,0.7,9,9,1,54,35.88,0.7259625738215458
41,4,1,G,0.7,30,30,1,51,34.07,0.7210314131868456
42,4,1,G,0.7,188,188,1,55,37.06,0.7274578528703234
43,4,1,G,0.7,32,32,1,51,34.58,0.736052939025349
44,4,1,G,0.7,177,177,1,55,36.91,0.6854980424192688
45,4,1,G,0.7,207,207,1,51,34.19,0.7266691846527626
46,4,1,G,0.7,203,203,1,55,37.89,0.7581069552731117
47,4,1,G,0.7,110,110,1,53,35.46,0.6442148234205782
48,4,1,G,0.7,167,167,1,52,35.66,0.6548691228822711
49,4,1,G,0.7,173,173,1,48,32.78,0.7813439463281598
