seed,config_id,stage,unknown_params,G_true,predicted_idx,true_idx,correct,n_steps,wall_time_sec,a_true,a_0_true,G_fit,a_fit,a_0_fit
0,6,2,G|a|a_0,0.1,247,188,0,77,88.68,5,0.5,0.22400697237958855,5.3476145292347335,12.012555107721164
1,6,2,G|a|a_0,0.1,37,94,0,80,86.22,5,0.5,0.19237886785989167,5.16610614833386,5.331396748490899
2,6,2,G|a|a_0,0.1,162,33,0,101,107.34,5,0.5,0.9973151743040595,5.120398624599733,9.971361518264349
3,6,2,G|a|a_0,0.1,139,43,0,101,107.25,5,0.5,0.995788012219201,4.992062398216416,8.18392153740502
4,6,2,G|a|a_0,0.1,212,5,0,63,66.8,5,0.5,0.04928269741083346,4.669394324717271,10.75738883478414
5,6,2,G|a|a_0,0.1,210,107,0,101,105.64,5,0.5,0.3182401963035482,4.895222221221741,2.288411523640767
6,6,2,G|a|a_0,0.1,55,115,0,82,87.13,5,0.5,0.09354819435264747,5.144541807483723,15.754276387372855
7,6,2,G|a|a_0,0.1,6,47,0,101,105.79,5,0.5,0.7874385727111148,4.800956835107182,8.192138625344127
8,6,2,G|a|a_0,0.1,130,44,0,67,71.08,5,0.5,0.13603025705902894,5.28543256022734,11.03404867462536
9,6,2,G|a|a_0,0.1,206,54,0,101,105.8,5,0.5,0.8130512403800307,4.788831862477749,7.235363159846785
10,6,2,G|a|a_0,0.1,213,24,0,69,72.81,5,0.5,0.19662871788795444,5.37846011492378,14.94090407993903
11,6,2,G|a|a_0,0.1,129,169,0,101,106.13,5,0.5,0.8768677036121005,4.959711102819862,7.734868917755307
12,6,2,G|a|a_0,0.1,197,80,0,78,83.19,5,0.5,0.10109916858351954,4.680582034686323,12.6295014693945
13,6,2,G|a|a_0,0.1,97,167,0,101,106.35,5,0.5,0.4874239070168636,4.684004207520026,11.065328061593624
14,6,2,G|a|a_0,0.1,117,29,0,101,106.37,5,0.5,0.12199624391582618,4.830096044182698,25.515641195419143
15,6,2,G|a|a_0,0.1,78,176,0,101,106.68,5,0.5,0.23678969992708931,4.9243165786368746,26.46663156177099
16,6,2,G|a|a_0,0.1,83,213,0,101,106.07,5,0.5,0.6541059989593087,4.729032218309753,13.581998347689554
17,6,2,G|a|a_0,0.1,78,78,1,99,104.44,5,0.5,0.11543880497023619,5.243209244115296,10.871846362929336
18,6,2,G|a|a_0,0.1,175,236,0,101,105.65,5,0.5,0.30501356119331496,4.773117797996451,4.562363351578
19,6,2,G|a|a_0,0.1,75,93,0,101,105.78,5,0.5,0.10990156010531466,4.9653577583297,29.67485372972982
20,6,2,G|a|a_0,0.1,253,230,0,101,105.69,5,0.5,0.0803794412694897,5.211146383589063,24.535812512511065
21,6,2,G|a|a_0,0.1,72,23,0,101,105.58,5,0.5,0.9996333809108545,4.77552717605165,3.6133339469879
22,6,2,G|a|a_0,0.1,239,230,0,61,64.57,5,0.5,0.12797507791005852,5.152959348742798,11.329537267348107
23,6,2,G|a|a_0,0.1,142,228,0,101,105.59,5,0.5,0.37060340416233317,5.133380490209256,6.593735440660473
24,6,2,G|a|a_0,0.1,110,128,0,101,105.17,5,0.5,0.5343794848307912,5.060194221200784,13.89426541440447
25,6,2,G|a|a_0,0.1,48,33,0,101,105.78,5,0.5,0.07580256590586995,5.0807318665760555,24.952565495073877
26,6,2,G|a|a_0,0.1,149,127,0,101,106.08,5,0.5,0.371131346998291,4.912180281028003,6.580044073229774
27,6,2,G|a|a_0,0.1,116,205,0,101,106.49,5,0.5,0.20706274205623523,4.973478624090677,21.849465457681386
28,6,2,G|a|a_0,0.1,235,90,0,101,105.66,5,0.5,0.8564221444933169,5.12986179647597,6.564882071451858
29,6,2,G|a|a_0,0.1,75,98,0,99,104.43,5,0.5,0.17691730307857104,4.703266321712597,7.847148268337968
30,6,2,G|a|a_0,0.1,187,181,0,81,85.6,5,0.5,0.32663564740032236,4.909694169829071,14.087111172710177
31,6,2,G|a|a_0,0.1,144,165,0,101,105.72,5,0.5,0.7783166287821031,4.798026148023052,5.391841600771236
32,6,2,G|a|a_0,0.1,148,73,0,101,105.24,5,0.5,0.7205743556666243,4.667520543670333,10.55992582903282
33,6,2,G|a|a_0,0.1,25,136,0,101,105.53,5,0.5,0.13702448903628545,5.0374493312037805,16.06368242635361
34,6,2,G|a|a_0,0.1,84,246,0,85,90.16,5,0.5,0.12947869880641,5.291687477511739,10.338549711692325
35,6,2,G|a|a_0,0.1,19,182,0,101,105.37,5,0.5,0.2547843522373901,5.202544099040148,5.79948155629264
36,6,2,G|a|a_0,0.1,108,50,0,59,62.94,5,0.5,0.2331466226004087,4.660019853728219,7.795113382386257
37,6,2,G|a|a_0,0.1,230,252,0,101,105.25,5,0.5,0.02777443182457436,4.827015186832132,27.561376572182315
38,6,2,G|a|a_0,0.1,87,183,0,68,71.93,5,0.5,0.1603374293028107,4.978850806755494,14.7516342721307
39,6,2,G|a|a_0,0.1,83,44,0,65,69.0,5,0.5,0.15617030827175285,4.76162476069966,8.934302841001921
40,6,2,G|a|a_0,0.1,56,9,0,101,105.62,5,0.5,0.8569618710684183,4.99132040328317,6.116891133421421
41,6,2,G|a|a_0,0.1,123,30,0,101,105.6,5,0.5,0.36133697940728654,4.893011546281304,3.869681946485013
42,6,2,G|a|a_0,0.1,188,188,1,72,76.49,5,0.5,0.1090396089258073,5.346072181391683,3.6893942784550426
43,6,2,G|a|a_0,0.1,244,32,0,101,105.72,5,0.5,0.9975438690157075,5.189181579404567,9.98428082019365
44,6,2,G|a|a_0,0.1,56,177,0,101,105.33,5,0.5,0.10466646036054361,5.065799841089929,17.565048488482642
45,6,2,G|a|a_0,0.1,111,207,0,101,105.25,5,0.5,0.23311084038312033,4.909349751600641,20.08610958810735
46,6,2,G|a|a_0,0.1,29,203,0,94,99.32,5,0.5,0.144003507488165,4.895055072978843,14.02661736662973
47,6,2,G|a|a_0,0.1,24,110,0,96,101.44,5,0.5,0.08005033346705484,5.199370310143347,15.275135407239873
48,6,2,G|a|a_0,0.1,205,167,0,92,97.04,5,0.5,0.0245653473084598,4.901432056920051,15.242064365882737
49,6,2,G|a|a_0,0.1,173,173,1,71,75.4,5,0.5,0.1851642568857046,5.06071365847187,6.359784047196874
