seed,config_id,stage,unknown_params,G_true,predicted_idx,true_idx,correct,n_steps,wall_time_sec,a_true,G_fit,a_fit
0,21,5,G|a,0.1,247,188,0,65,84.59,5,0.22262296276408125,5.347590284454296
1,21,5,G|a,0.1,37,94,0,64,77.18,5,0.19164736288034712,5.165813517031346
2,21,5,G|a,0.1,201,33,0,94,113.67,5,0.11225647884481055,5.142927185202826
3,21,5,G|a,0.1,139,43,0,201,240.64,5,0.997733513162145,4.992255591098493
4,21,5,G|a,0.1,212,5,0,55,66.46,5,0.047739289305820075,4.669512235979254
5,21,5,G|a,0.1,210,107,0,201,241.94,5,0.3179959819841584,4.895248729352708
6,21,5,G|a,0.1,55,115,0,61,72.94,5,0.09127385676531437,5.144529020738818
7,21,5,G|a,0.1,6,47,0,201,238.03,5,0.7768211802516097,4.8013562582077
8,21,5,G|a,0.1,130,44,0,62,75.04,5,0.13420476523986094,5.285479553475458
9,21,5,G|a,0.1,206,54,0,201,249.25,5,0.8017956888231386,4.789032881198698
10,21,5,G|a,0.1,213,24,0,65,82.3,5,0.19467482374867523,5.378290778474117
11,21,5,G|a,0.1,34,169,0,201,235.78,5,0.33753157156636104,4.971253466115823
12,21,5,G|a,0.1,197,80,0,201,216.37,5,0.35771631709869905,4.681015199577356
13,21,5,G|a,0.1,125,167,0,201,226.96,5,0.7096825173397199,4.688271960288684
14,21,5,G|a,0.1,30,29,0,58,67.72,5,0.08879353378828694,4.831836221741209
15,21,5,G|a,0.1,78,176,0,60,64.89,5,0.23303812444457256,4.924488164815053
16,21,5,G|a,0.1,189,213,0,201,229.61,5,0.6455934939323883,4.729093682754271
17,21,5,G|a,0.1,178,78,0,201,197.47,5,0.5423948004996427,5.240571074932702
18,21,5,G|a,0.1,236,236,1,81,89.45,5,0.11663880005585447,4.80601797177658
19,21,5,G|a,0.1,75,93,0,59,66.25,5,0.10302129492284293,4.9655972900272465
20,21,5,G|a,0.1,253,230,0,201,206.18,5,0.49035344935039116,5.211974279965539
21,21,5,G|a,0.1,72,23,0,201,221.87,5,0.9998648448581031,4.77483408381
22,21,5,G|a,0.1,239,230,0,54,52.99,5,0.12626986324257852,5.152700801773678
23,21,5,G|a,0.1,142,228,0,201,201.12,5,0.36839951949214067,5.133422333358308
24,21,5,G|a,0.1,110,128,0,201,212.67,5,0.5270214605798652,5.060315649524388
25,21,5,G|a,0.1,216,33,0,67,78.4,5,0.1367702059773611,5.09973586904634
26,21,5,G|a,0.1,149,127,0,201,217.14,5,0.3594526720762758,4.912442640188891
27,21,5,G|a,0.1,116,205,0,52,55.42,5,0.20401108697083375,4.973407916856495
28,21,5,G|a,0.1,235,90,0,201,235.96,5,0.8568889068424541,5.129924570298893
29,21,5,G|a,0.1,75,98,0,63,76.67,5,0.1760445628857206,4.70333847661955
30,21,5,G|a,0.1,187,181,0,47,57.42,5,0.32533806468812765,4.909673722224493
31,21,5,G|a,0.1,144,165,0,201,238.95,5,0.7757478000208943,4.7980712771129115
32,21,5,G|a,0.1,112,73,0,201,239.61,5,0.8651022280123188,4.665788809322609
33,21,5,G|a,0.1,20,136,0,72,86.55,5,0.015178021175771883,5.043303399226439
34,21,5,G|a,0.1,194,246,0,201,241.35,5,0.5617190416781379,5.288965355347042
35,21,5,G|a,0.1,19,182,0,201,240.34,5,0.25087041673884086,5.202598209512991
36,21,5,G|a,0.1,108,50,0,51,63.33,5,0.23242033344142551,4.660189582735738
37,21,5,G|a,0.1,220,252,0,58,71.35,5,0.061159695619879766,4.840707539141866
38,21,5,G|a,0.1,87,183,0,201,237.8,5,0.7037056089588629,4.978904864353199
39,21,5,G|a,0.1,83,44,0,54,65.51,5,0.15462028046231463,4.761404255008848
40,21,5,G|a,0.1,56,9,0,201,242.16,5,0.8453590303585794,4.9915071409584915
41,21,5,G|a,0.1,123,30,0,201,232.04,5,0.35780041552061476,4.893246774634082
42,21,5,G|a,0.1,188,188,1,58,68.29,5,0.10882851888679863,5.346159466493486
43,21,5,G|a,0.1,117,32,0,201,232.38,5,0.8727446707790545,5.1874481236013645
44,21,5,G|a,0.1,1,177,0,67,77.94,5,0.010105897266587519,5.066644118750612
45,21,5,G|a,0.1,111,207,0,63,76.31,5,0.23001148706784177,4.909381263736513
46,21,5,G|a,0.1,8,203,0,80,92.43,5,0.14290728706364492,4.898981246714451
47,21,5,G|a,0.1,162,110,0,67,76.98,5,0.07605828150480527,5.200913654695935
48,21,5,G|a,0.1,205,167,0,63,74.34,5,0.019662973855554624,4.901648417717698
49,21,5,G|a,0.1,173,173,1,56,67.99,5,0.1841834910032301,5.060780463903984
