seed,config_id,stage,unknown_params,G_true,predicted_idx,true_idx,correct,n_steps,wall_time_sec,a_true,q_true,G_fit,a_fit,q_fit
0,26,6,G|a|q,0.1,247,188,0,178,175.79,5,1.0,0.22131462087812737,2.981459710474306,4.838604703016127
1,26,6,G|a|q,0.1,37,94,0,201,187.68,5,1.0,0.1910875766630844,3.737164994190869,2.9997840339076416
2,26,6,G|a|q,0.1,56,33,0,201,187.57,5,1.0,0.998107563170624,6.01992062896362,0.022960480434858734
3,26,6,G|a|q,0.1,144,43,0,201,183.67,5,1.0,0.4399112183304494,4.032960255961372,2.283330329013877
4,26,6,G|a|q,0.1,11,5,0,201,189.63,5,1.0,0.07803022230049692,5.44330492252601,0.14581828337377062
5,26,6,G|a|q,0.1,191,107,0,201,185.11,5,1.0,0.6764537164376062,5.781861736787149,0.012301610251626677
6,26,6,G|a|q,0.1,55,115,0,201,184.23,5,1.0,0.09081115823919368,5.930970438966868,0.13928747340063277
7,26,6,G|a|q,0.1,6,47,0,201,183.96,5,1.0,0.8504892011774197,3.7564090032087316,2.409666872440359
8,26,6,G|a|q,0.1,187,44,0,201,182.11,5,1.0,0.07218627864930582,4.177123912408587,2.466104756170464
9,26,6,G|a|q,0.1,236,54,0,201,185.36,5,1.0,0.128226351762862,5.675064265169819,0.0532026493045437
10,26,6,G|a|q,0.1,213,24,0,201,184.0,5,1.0,0.194663173349535,5.9912934109430385,0.32123645362869285
11,26,6,G|a|q,0.1,64,169,0,201,182.5,5,1.0,0.8798400103084979,5.862009480745092,0.020062712316505454
12,26,6,G|a|q,0.1,222,80,0,200,182.38,5,1.0,0.11281238652492015,2.901504008054573,3.753652324218766
13,26,6,G|a|q,0.1,125,167,0,201,178.62,5,1.0,0.8584869495376735,5.598269345979466,0.0035818372317587416
14,26,6,G|a|q,0.1,117,29,0,201,181.69,5,1.0,0.11548772171728522,4.145122619837548,1.8798004873270604
15,26,6,G|a|q,0.1,78,176,0,174,159.83,5,1.0,0.23280991865487002,5.842002209869474,0.003523737637183993
16,26,6,G|a|q,0.1,83,213,0,201,181.21,5,1.0,0.6449219286907559,4.240041967832895,1.615024381322509
17,26,6,G|a|q,0.1,178,78,0,201,184.58,5,1.0,0.1197587043869578,6.026277716890717,0.14520990203248424
