seed,config_id,stage,unknown_params,G_true,predicted_idx,true_idx,correct,n_steps,wall_time_sec,G_fit
0,1,1,G,0.1,220,188,0,73,110.5,0.035179779455849824
1,1,1,G,0.1,94,94,1,67,102.59,0.0829396460759353
2,1,1,G,0.1,33,33,1,50,76.36,0.08684209266702235
3,1,1,G,0.1,139,43,0,85,129.41,0.04564678453739759
4,1,1,G,0.1,166,5,0,63,91.36,0.029658036608428192
5,1,1,G,0.1,210,107,0,83,126.53,0.037026230073226675
6,1,1,G,0.1,95,115,0,45,68.14,0.11611647874993207
7,1,1,G,0.1,26,47,0,55,83.31,0.1034718977168498
8,1,1,G,0.1,213,44,0,72,110.83,0.038963368010602115
9,1,1,G,0.1,236,54,0,58,88.97,0.12171322494604829
10,1,1,G,0.1,2,24,0,53,80.93,0.07650160853555632
11,1,1,G,0.1,39,169,0,50,70.83,0.017502069427558192
12,1,1,G,0.1,197,80,0,68,103.72,0.04260976939388619
13,1,1,G,0.1,125,167,0,57,86.6,0.06411793602795024
14,1,1,G,0.1,117,29,0,98,150.75,0.04580487311147108
15,1,1,G,0.1,78,176,0,68,103.54,0.06577213661368216
16,1,1,G,0.1,189,213,0,44,68.35,0.0999952753548679
17,1,1,G,0.1,114,78,0,83,122.1,0.036269223743167205
18,1,1,G,0.1,53,236,0,53,81.21,0.1113682967372882
19,1,1,G,0.1,75,93,0,111,166.19,0.06667167680765386
20,1,1,G,0.1,121,230,0,61,87.31,0.025517662151041634
21,1,1,G,0.1,163,23,0,58,88.72,0.06928770028871943
22,1,1,G,0.1,223,230,0,45,62.08,0.025666513562702165
23,1,1,G,0.1,231,228,0,201,305.36,0.13363898661441945
24,1,1,G,0.1,82,128,0,49,70.89,0.06389168020474448
25,1,1,G,0.1,216,33,0,57,86.83,0.07535796349646522
26,1,1,G,0.1,120,127,0,46,70.23,0.18812467655293008
27,1,1,G,0.1,116,205,0,60,90.56,0.12150143091142669
28,1,1,G,0.1,73,90,0,110,162.96,0.04664694557146734
29,1,1,G,0.1,75,98,0,58,88.44,0.07302141249689725
30,1,1,G,0.1,126,181,0,201,305.95,0.42976734350179624
31,1,1,G,0.1,217,165,0,95,138.62,0.03976310154185631
32,1,1,G,0.1,162,73,0,66,100.05,0.1500237909500458
33,1,1,G,0.1,25,136,0,71,106.36,0.05816857305045101
34,1,1,G,0.1,84,246,0,56,84.89,0.06721384489941841
35,1,1,G,0.1,19,182,0,69,104.09,0.027994480879041963
36,1,1,G,0.1,108,50,0,72,108.54,0.14330595066097707
37,1,1,G,0.1,140,252,0,80,121.19,0.14858571082849867
38,1,1,G,0.1,218,183,0,61,92.1,0.07554966592275587
39,1,1,G,0.1,83,44,0,33,49.77,0.08851731008318658
40,1,1,G,0.1,9,9,1,57,86.47,0.12397768779399594
41,1,1,G,0.1,157,30,0,52,79.74,0.06903424615418931
42,1,1,G,0.1,229,188,0,65,98.21,0.052919422653877495
43,1,1,G,0.1,244,32,0,69,103.96,0.11989227032300497
44,1,1,G,0.1,248,177,0,98,145.38,0.03541029815456294
45,1,1,G,0.1,111,207,0,133,200.64,0.05632868178841705
46,1,1,G,0.1,200,203,0,76,110.22,0.040338782923474543
47,1,1,G,0.1,28,110,0,43,59.08,0.015176962445293249
48,1,1,G,0.1,154,167,0,47,71.07,0.022881976083348854
49,1,1,G,0.1,173,173,1,64,96.92,0.14089746944499273
50,1,1,G,0.1,188,140,0,53,80.76,0.09828051753335408
51,1,1,G,0.1,90,233,0,70,102.06,0.05512984336392773
52,1,1,G,0.1,241,201,0,76,115.55,0.02027582282414397
53,1,1,G,0.1,201,6,0,45,65.11,0.09065545032884986
54,1,1,G,0.1,234,65,0,97,146.9,0.04694827318318088
55,1,1,G,0.1,28,43,0,77,112.36,0.0378148784391042
56,1,1,G,0.1,52,101,0,53,80.13,0.05696932024977176
57,1,1,G,0.1,140,66,0,59,88.77,0.14049270227520858
58,1,1,G,0.1,101,204,0,154,231.38,0.09234702512490953
59,1,1,G,0.1,238,25,0,94,142.64,0.03386976681600397
60,1,1,G,0.1,113,175,0,58,81.56,0.022044972229066012
61,1,1,G,0.1,124,100,0,52,78.02,0.08442821129998901
62,1,1,G,0.1,10,125,0,73,109.75,0.052879541326307886
63,1,1,G,0.1,185,78,0,90,135.81,0.014562585308459705
64,1,1,G,0.1,237,254,0,67,96.37,0.041558767710134566
65,1,1,G,0.1,165,74,0,62,93.35,0.058777517382211486
66,1,1,G,0.1,91,181,0,42,63.49,0.09765586892360484
67,1,1,G,0.1,242,211,0,116,173.39,0.04604351197503956
68,1,1,G,0.1,51,203,0,70,105.39,0.19520826069086086
69,1,1,G,0.1,191,0,0,65,97.0,0.04538084203518793
70,1,1,G,0.1,255,92,0,53,78.63,0.1350533579717604
71,1,1,G,0.1,0,49,0,86,129.76,0.02991225017178779
72,1,1,G,0.1,141,165,0,66,99.36,0.12587262067750896
73,1,1,G,0.1,35,76,0,85,126.57,0.028331057627683766
74,1,1,G,0.1,14,175,0,63,93.23,0.09871811799749905
75,1,1,G,0.1,249,32,0,50,72.85,0.07588958149732859
76,1,1,G,0.1,112,112,1,55,76.64,0.06485596486611868
77,1,1,G,0.1,186,255,0,64,93.84,0.0585306365610857
78,1,1,G,0.1,160,185,0,61,91.02,0.13893550672358249
79,1,1,G,0.1,239,136,0,74,108.69,0.039666252140124
80,1,1,G,0.1,213,107,0,58,83.74,0.05036700309486002
81,1,1,G,0.1,76,189,0,38,54.2,0.05031532723756428
82,1,1,G,0.1,177,136,0,79,118.21,0.04387276625615266
83,1,1,G,0.1,21,180,0,79,116.94,0.05357519745186129
84,1,1,G,0.1,172,142,0,58,87.31,0.05827851598413323
85,1,1,G,0.1,95,18,0,86,126.03,0.026660559242077463
86,1,1,G,0.1,223,165,0,52,74.49,0.046998523084527545
87,1,1,G,0.1,76,224,0,99,138.86,0.039854632224562384
88,1,1,G,0.1,30,43,0,62,89.71,0.24873523310502826
89,1,1,G,0.1,8,66,0,91,128.9,0.03938532468262563
90,1,1,G,0.1,166,16,0,81,110.67,0.029205340332488547
91,1,1,G,0.1,108,123,0,61,88.88,0.18766573229997188
92,1,1,G,0.1,9,229,0,35,48.26,0.04409016043568729
93,1,1,G,0.1,256,256,1,62,91.47,0.1116595916976926
94,1,1,G,0.1,28,73,0,82,118.18,0.04861395978436147
95,1,1,G,0.1,132,91,0,70,100.93,0.023552637870237453
96,1,1,G,0.1,159,113,0,55,75.38,0.03481793518224142
97,1,1,G,0.1,142,12,0,69,100.5,0.04015991242862196
98,1,1,G,0.1,204,176,0,64,93.18,0.05973294069444662
99,1,1,G,0.1,7,81,0,77,111.65,0.07195744329865042
100,1,1,G,0.1,232,4,0,59,84.02,0.07057869563664342
101,1,1,G,0.1,207,196,0,70,103.23,0.027122948020667254
102,1,1,G,0.1,227,136,0,72,100.59,0.012595520937057838
103,1,1,G,0.1,209,27,0,89,128.03,0.04585065347478294
104,1,1,G,0.1,233,225,0,79,113.36,0.11871834443297288
105,1,1,G,0.1,179,186,0,54,77.26,0.1273119695026023
106,1,1,G,0.1,209,215,0,63,87.66,0.09864972610455086
