seed,config_id,stage,unknown_params,G_true,predicted_idx,true_idx,correct,n_steps,wall_time_sec,a_true,G_fit,a_fit
0,9,2,G|a,0.7,188,188,1,96,252.81,5,0.7002812601633163,4.979831098683214
1,9,2,G|a,0.7,94,94,1,74,187.18,5,0.7010682748105806,4.97568601624361
2,9,2,G|a,0.7,33,33,1,78,205.03,5,0.7003399623195589,4.982053420665298
3,9,2,G|a,0.7,43,43,1,56,151.84,5,0.7002586217335063,4.979297219163518
4,9,2,G|a,0.7,5,5,1,91,254.11,5,0.7004576691794121,4.9554626181437085
5,9,2,G|a,0.7,107,107,1,91,257.59,5,0.7009399295961982,4.968085636200374
6,9,2,G|a,0.7,115,115,1,75,208.77,5,0.7003474988963425,4.974021146863205
7,9,2,G|a,0.7,47,47,1,75,204.74,5,0.7000547637915147,4.984317060792473
8,9,2,G|a,0.7,44,44,1,87,229.7,5,0.7004334021285626,4.982459760747154
9,9,2,G|a,0.7,54,54,1,72,196.14,5,0.7003792139059707,4.980827067888352
10,9,2,G|a,0.7,24,24,1,92,264.61,5,0.7008165467765217,4.981849972598972
11,9,2,G|a,0.7,169,169,1,65,184.66,5,0.7008212650996737,4.9747920714516
12,9,2,G|a,0.7,80,80,1,88,227.11,5,0.7001553143745186,4.957028671837207
13,9,2,G|a,0.7,167,167,1,93,239.8,5,0.7009182773478672,4.959922159302249
14,9,2,G|a,0.7,29,29,1,70,181.88,5,0.7005451282241468,4.993795002619448
15,9,2,G|a,0.7,176,176,1,99,262.07,5,0.7006027219812537,4.9612907028868145
16,9,2,G|a,0.7,213,213,1,74,196.24,5,0.700646850166559,4.962483886690719
17,9,2,G|a,0.7,78,78,1,83,218.57,5,0.700127793130234,4.982156131358899
18,9,2,G|a,0.7,236,236,1,80,206.72,5,0.7005270813700121,4.9753224254557775
19,9,2,G|a,0.7,93,93,1,77,199.38,5,0.7003668569298298,4.970398363035177
20,9,2,G|a,0.7,230,230,1,86,223.63,5,0.7001939996543742,4.968134929222544
21,9,2,G|a,0.7,23,23,1,77,199.31,5,0.7007975822947068,4.970176928959316
22,9,2,G|a,0.7,230,230,1,83,220.66,5,0.7003330336626101,4.9721354001470255
23,9,2,G|a,0.7,228,228,1,77,204.99,5,0.700593025714837,4.986616388011265
24,9,2,G|a,0.7,128,128,1,83,216.85,5,0.7002802286220329,4.970030076002446
25,9,2,G|a,0.7,33,33,1,68,181.76,5,0.7006953411351875,4.96861286414149
26,9,2,G|a,0.7,127,127,1,74,194.27,5,0.7004259442545325,4.98039139494478
27,9,2,G|a,0.7,205,205,1,61,152.76,5,0.7004312929110299,4.980475100001523
28,9,2,G|a,0.7,90,90,1,95,247.11,5,0.70058729682274,4.975642371934061
29,9,2,G|a,0.7,98,98,1,67,173.52,5,0.7006647849718493,4.974214345107916
30,9,2,G|a,0.7,181,181,1,65,168.3,5,0.7012734211704051,4.971725612785046
31,9,2,G|a,0.7,165,165,1,78,204.5,5,0.7002638284216508,4.947303793516268
32,9,2,G|a,0.7,73,73,1,100,274.59,5,0.7005959740286288,4.960358468384774
33,9,2,G|a,0.7,136,136,1,65,188.63,5,0.7009917793966072,5.005573225347369
34,9,2,G|a,0.7,246,246,1,93,271.63,5,0.7005363473889491,4.963660436520713
35,9,2,G|a,0.7,182,182,1,76,197.77,5,0.7004423286249649,4.96569021347806
36,9,2,G|a,0.7,50,50,1,67,174.69,5,0.7005070942849708,4.961849198418231
37,9,2,G|a,0.7,252,252,1,77,201.22,5,0.700443604227788,4.9893582424892235
38,9,2,G|a,0.7,183,183,1,57,151.4,5,0.7010416826086446,4.961689471784256
39,9,2,G|a,0.7,44,44,1,75,200.42,5,0.7003528043643763,4.97106236158402
40,9,2,G|a,0.7,9,9,1,70,177.16,5,0.7008169557563145,5.005341500251469
41,9,2,G|a,0.7,30,30,1,63,164.75,5,0.7019217727388185,4.990059882541705
42,9,2,G|a,0.7,188,188,1,79,204.14,5,0.7004402916325692,4.97961786520755
43,9,2,G|a,0.7,32,32,1,78,198.84,5,0.70147551503425,4.9495136150192875
44,9,2,G|a,0.7,177,177,1,84,213.18,5,0.6999826372048249,4.983630301228052
45,9,2,G|a,0.7,207,207,1,75,192.37,5,0.7006168791214589,4.97497745537181
46,9,2,G|a,0.7,203,203,1,80,209.2,5,0.7000826916565204,4.986117233440045
47,9,2,G|a,0.7,110,110,1,91,240.57,5,0.7002652165443951,4.968966737078122
48,9,2,G|a,0.7,167,167,1,83,219.2,5,0.7005044359441092,4.955796098925228
49,9,2,G|a,0.7,173,173,1,94,251.93,5,0.7005003025805716,4.970433551208325
50,9,2,G|a,0.7,140,140,1,74,198.09,5,0.7003999750629444,4.9992394537173395
51,9,2,G|a,0.7,233,233,1,70,183.03,5,0.7004409335400223,4.975922291176605
52,9,2,G|a,0.7,201,201,1,71,189.51,5,0.7009713692525107,4.975216070385728
53,9,2,G|a,0.7,6,6,1,76,203.05,5,0.700223241244734,4.975437651345807
54,9,2,G|a,0.7,65,65,1,84,228.5,5,0.7006064438394973,4.970789748066485
