seed,config_id,stage,unknown_params,G_true,predicted_idx,true_idx,correct,n_steps,wall_time_sec,a_true,q_true,G_fit,a_fit,q_fit
0,15,3,G|a|q,0.9,188,188,1,201,496.85,5,1.0,0.8875995868474038,5.182312213050747,1.0186523737724358
1,15,3,G|a|q,0.9,94,94,1,198,490.05,5,1.0,0.8949783979039388,4.994870419686221,1.0082200051709884
2,15,3,G|a|q,0.9,33,33,1,201,497.22,5,1.0,0.8984565115840244,4.976304937685928,1.0025559311923704
3,15,3,G|a|q,0.9,43,43,1,94,233.52,5,1.0,0.8933379337514388,4.945055184608171,1.0098192985632877
4,15,3,G|a|q,0.9,5,5,1,201,497.91,5,1.0,0.8970577028446962,4.881386028839122,1.004391032214976
5,15,3,G|a|q,0.9,107,107,1,108,269.78,5,1.0,0.8971780520108316,4.913493499942941,1.0049283748755808
6,15,3,G|a|q,0.9,115,115,1,142,345.33,5,1.0,0.9003860809833198,4.935342984269326,0.9993163814507061
7,15,3,G|a|q,0.9,47,47,1,129,298.66,5,1.0,0.8970449099557531,4.958674264541297,1.0042664776844528
8,15,3,G|a|q,0.9,44,44,1,201,472.6,5,1.0,0.8992436468677788,4.995784132412714,1.0018033644525297
9,15,3,G|a|q,0.9,54,54,1,127,288.36,5,1.0,0.897100725938476,4.933118720718902,1.0042849365133482
10,15,3,G|a|q,0.9,24,24,1,201,456.61,5,1.0,0.9005551238359593,4.977123208636534,1.0001642497626422
11,15,3,G|a|q,0.9,169,169,1,112,256.61,5,1.0,0.8988200290625333,4.940896818188396,1.0029401440438301
12,15,3,G|a|q,0.9,157,80,0,201,453.22,5,1.0,0.7972589875543389,4.653918262447577,0.14736593677722123
13,15,3,G|a|q,0.9,167,167,1,128,294.23,5,1.0,0.9016367515843597,4.903923044611204,0.9981453154983394
14,15,3,G|a|q,0.9,29,29,1,136,318.52,5,1.0,0.8988676031250713,4.956754744225719,1.0023325110472634
15,15,3,G|a|q,0.9,176,176,1,159,371.26,5,1.0,0.8960253264150971,4.97462717188731,1.0066654276235711
16,15,3,G|a|q,0.9,213,213,1,150,337.58,5,1.0,0.899211334969666,4.884241369110181,1.0014483145284792
17,15,3,G|a|q,0.9,78,78,1,201,445.73,5,1.0,0.8981636121650775,4.972594295521649,1.0028669087191222
18,15,3,G|a|q,0.9,236,236,1,174,386.75,5,1.0,0.9032087735176885,4.913193086109384,0.9963423040942498
19,15,3,G|a|q,0.9,93,93,1,131,286.05,5,1.0,0.8994841629440279,4.9191653988902475,1.0013891090999147
20,15,3,G|a|q,0.9,230,230,1,201,441.95,5,1.0,0.894360166707435,5.008535906978722,1.0085793554377767
21,15,3,G|a|q,0.9,153,23,0,201,441.79,5,1.0,0.999076993558474,3.635621107705777,0.7414636338363076
22,15,3,G|a|q,0.9,230,230,1,201,430.38,5,1.0,0.8948720327647353,5.002253278590449,1.0075449337010731
23,15,3,G|a|q,0.9,228,228,1,196,422.0,5,1.0,0.9025086293792106,4.998962761131308,0.9973749711016968
24,15,3,G|a|q,0.9,128,128,1,201,428.0,5,1.0,0.8999477501319046,4.939963305260154,1.0004192607288172
25,15,3,G|a|q,0.9,33,33,1,132,281.07,5,1.0,0.8988624333060309,4.927419870659791,1.0018195081886285
26,15,3,G|a|q,0.9,127,127,1,201,430.39,5,1.0,0.8991775144195095,4.9403598672328615,1.001477738327284
27,15,3,G|a|q,0.9,205,205,1,107,227.61,5,1.0,0.9020345079879307,4.945434553809736,0.9978306562860758
28,15,3,G|a|q,0.9,90,90,1,201,433.14,5,1.0,0.8978846018778972,4.974501611511503,1.0040874586655242
29,15,3,G|a|q,0.9,98,98,1,170,374.03,5,1.0,0.896298641537579,4.951505214890069,1.0059797008641804
30,15,3,G|a|q,0.9,181,181,1,118,254.6,5,1.0,0.901323756800934,5.009468176411935,0.9988271617477745
31,15,3,G|a|q,0.9,165,165,1,122,266.57,5,1.0,0.8840153791743262,4.871429413575762,1.0232535970321746
32,15,3,G|a|q,0.9,73,73,1,172,378.03,5,1.0,0.9012347300882362,4.887419863609798,0.9985740982325629
33,15,3,G|a|q,0.9,136,136,1,95,206.93,5,1.0,0.8970259768091301,4.938725406231436,1.0054451319158426
34,15,3,G|a|q,0.9,246,246,1,201,441.85,5,1.0,0.8962737043672037,4.999029891750781,1.0052279424938955
35,15,3,G|a|q,0.9,182,182,1,184,405.91,5,1.0,0.8953996229937434,4.911911242524118,1.0064449252782386
36,15,3,G|a|q,0.9,50,50,1,201,441.47,5,1.0,0.8992426395231101,4.913878829825904,1.0015220413556054
37,15,3,G|a|q,0.9,252,252,1,201,443.5,5,1.0,0.8978976551591196,4.92281884523974,1.0036520468819357
38,15,3,G|a|q,0.9,183,183,1,109,237.46,5,1.0,0.8980322644804901,4.936272846975755,1.003178675428055
39,15,3,G|a|q,0.9,44,44,1,197,432.67,5,1.0,0.899265531951665,4.9213305354061445,1.0010065694543384
40,15,3,G|a|q,0.9,9,9,1,128,273.53,5,1.0,0.8988907372582379,4.990734386739478,1.0020504220848776
41,15,3,G|a|q,0.9,30,30,1,103,217.15,5,1.0,0.9031953022160701,4.943536780112912,0.9972183091394249
42,15,3,G|a|q,0.9,188,188,1,201,424.4,5,1.0,0.8976611562722231,4.9749072143855315,1.003851328752746
43,15,3,G|a|q,0.9,32,32,1,201,430.66,5,1.0,0.900365149975542,4.942068545356199,1.0005297568905573
44,15,3,G|a|q,0.9,177,177,1,161,349.54,5,1.0,0.893892189916338,4.937567826826442,1.0088139959130307
45,15,3,G|a|q,0.9,207,207,1,109,235.92,5,1.0,0.8972150646495259,4.9733935127578235,1.0051284977274346
46,15,3,G|a|q,0.9,203,203,1,155,333.24,5,1.0,0.8944378780530317,4.975580994051397,1.0084834293479188
47,15,3,G|a|q,0.9,110,110,1,165,360.86,5,1.0,0.8969644891727666,4.93902448079582,1.0045925207920074
48,15,3,G|a|q,0.9,167,167,1,167,370.9,5,1.0,0.8955350025202388,4.939069501060994,1.006516079765726
49,15,3,G|a|q,0.9,173,173,1,201,440.52,5,1.0,0.9012259113175345,4.934759473395931,0.9987944505771216
50,15,3,G|a|q,0.9,140,140,1,146,322.5,5,1.0,0.899181710421942,5.021663822495416,1.001688499065582
51,15,3,G|a|q,0.9,148,233,0,182,398.54,5,1.0,0.7497198411289341,4.84604888464954,0.13094236816006816
52,15,3,G|a|q,0.9,201,201,1,87,189.9,5,1.0,0.8899022320224137,4.896770340389302,1.0152990032310507
53,15,3,G|a|q,0.9,155,6,0,201,444.36,5,1.0,0.996647112254089,6.858613924961246,0.8838425722787696
54,15,3,G|a|q,0.9,65,65,1,201,438.72,5,1.0,0.9006605442472163,4.8918423198248675,0.9994641894453943
55,15,3,G|a|q,0.9,43,43,1,201,439.41,5,1.0,0.8964968291429994,4.865239823102537,1.0048627502047494
56,15,3,G|a|q,0.9,101,101,1,113,242.21,5,1.0,0.8980109027672805,4.901360526619131,1.0023560595278307
57,15,3,G|a|q,0.9,66,66,1,201,439.7,5,1.0,0.8894176160957711,5.014353938213481,1.016445768116116
58,15,3,G|a|q,0.9,204,204,1,112,241.46,5,1.0,0.8948950574179075,4.902936227418213,1.0074556682953508
59,15,3,G|a|q,0.9,25,25,1,174,381.01,5,1.0,0.8999289263140589,4.863623574499513,1.000265632252335
60,15,3,G|a|q,0.9,175,175,1,193,422.55,5,1.0,0.896175296130198,4.989828880159059,1.0058363687694991
61,15,3,G|a|q,0.9,100,100,1,163,359.24,5,1.0,0.8967965299825551,4.92051066099844,1.0049386330286745
62,15,3,G|a|q,0.9,125,125,1,201,442.47,5,1.0,0.8920448452080812,5.207973375024851,1.0122773248519796
63,15,3,G|a|q,0.9,78,78,1,82,180.79,5,1.0,0.8999551255271057,4.947013910341967,1.0010062619958744
64,15,3,G|a|q,0.9,143,254,0,201,441.37,5,1.0,0.9992391042308726,4.361626657519063,0.805539778074749
65,15,3,G|a|q,0.9,74,74,1,201,453.95,5,1.0,0.8988443607551492,5.038357879378605,1.00260796034348
66,15,3,G|a|q,0.9,181,181,1,201,471.2,5,1.0,0.8992815712417238,4.988525632885433,1.0019835835381983
