stage,unknown_params,G_true,n_seeds,accuracy,mean_steps,mean_wall_time,G_rmse,G_bias,G_mean_fit,a_rmse,a_bias,a_mean_fit,a_0_rmse,a_0_bias,a_0_mean_fit,q_rmse,q_bias,q_mean_fit,q_0_rmse,q_0_bias,q_0_mean_fit,c_rmse,c_bias,c_mean_fit,c_0_rmse,c_0_bias,c_0_mean_fit
1,G,0.1,50,0.02,81.66,85.0088,0.33924549345592586,0.20608266044124407,0.3060826604412441,,,,,,,,,,,,,,,,,,
1,G,0.3,50,0.58,77.08,74.6088,0.3152457224643661,0.18209229821778647,0.48209229821778643,,,,,,,,,,,,,,,,,,
1,G,0.5,50,1.0,55.8,55.770199999999996,0.035744773259922646,0.00432721276321042,0.5043272127632105,,,,,,,,,,,,,,,,,,
1,G,0.7,50,1.0,53.3,36.2218,0.04303298882813724,0.0046722777991555905,0.7046722777991554,,,,,,,,,,,,,,,,,,
1,G,0.9,50,1.0,57.38,58.415000000000006,0.04753117103268649,0.0029165475211705384,0.9029165475211707,,,,,,,,,,,,,,,,,,
2,G|a|a_0,0.1,50,0.06,91.76,96.68379999999999,0.3991040705695517,0.25266676962012463,0.35266676962012466,0.20147544086938365,-0.018061725966471993,4.981938274033528,13.518455048260156,11.681272318992596,12.1812723189926,,,,,,,,,,,,
2,G|a|a_0,0.3,50,0.44,84.52,83.1136,0.2977124334877186,0.19143931177702736,0.4914393117770274,0.1986513807229905,-0.002069269672148728,4.997930730327851,6.41903528058979,4.857095307083558,6.357095307083558,,,,,,,,,,,,
2,G|a|a_0,0.5,50,1.0,60.64,69.1978,0.03608232736100919,0.0034553985619711525,0.5034553985619712,0.19780796752151425,0.01244839569287409,5.012448395692874,4.73024293420537,2.2888888880397196,4.78888888803972,,,,,,,,,,,,
2,G|a|a_0,0.7,50,1.0,71.64,126.8058,0.0441265009001863,0.0029210902999576072,0.7029210902999578,0.19783669110509877,0.01242825222349321,5.012428252223493,5.035808095446157,2.211481207389672,5.711481207389673,,,,,,,,,,,,
2,G|a|a_0,0.9,50,1.0,82.8,108.63439999999999,0.051212180059437194,0.0013083559492422813,0.9013083559492423,0.1960592151995776,0.013323134968845452,5.013323134968846,5.330820446320057,2.163137330535317,6.663137330535318,,,,,,,,,,,,
3,G|a|a_0|q|q_0,0.1,53,0.05660377358490566,201.0,301.3869811320755,0.4429472187408329,0.2923291171017465,0.3923291171017465,1.3244463019572377,-0.5380332785224247,4.461966721477576,9.606583037421736,7.9320940554798245,8.432094055479824,2.0321139163602755,0.9280502439509944,1.9280502439509946,14.424139218311199,9.308845101364803,10.308845101364806,,,,,,
3,G|a|a_0|q|q_0,0.3,54,0.4444444444444444,200.4814814814815,205.44555555555556,0.3229310496877549,0.18642290693449598,0.4864229069344959,1.3281666698900854,-0.46976940620245033,4.530230593797549,4.046906832965903,1.7015634014078143,3.2015634014078143,2.05125894778614,0.8875008241485932,1.887500824148594,15.47249471686227,9.974210332894916,10.97421033289492,,,,,,
3,G|a|a_0|q|q_0,0.5,57,0.9649122807017544,192.0701754385965,171.09052631578948,0.10039124247389886,-0.013724346722061565,0.4862756532779384,1.2201191762995502,-0.49862037034300566,4.501379629656994,4.723079405958427,0.9375713451086346,3.437571345108635,1.8575163865209052,0.8783740509728103,1.8783740509728106,11.90502284773036,5.27029472915323,6.27029472915323,,,,,,
3,G|a|a_0|q|q_0,0.7,74,0.972972972972973,194.14864864864865,220.4541891891892,0.12255039003117903,-0.017919465177188763,0.6820805348228111,1.2234881673750913,-0.5206551908120804,4.4793448091879196,4.6789735714949705,-0.27241071150931906,3.227589288490681,1.8675377111316056,0.8980900311680156,1.8980900311680156,10.651758350272958,5.479825599490707,6.479825599490708,,,,,,
3,G|a|a_0|q|q_0,0.9,52,0.9615384615384616,194.21153846153845,182.44211538461533,0.1837836484199423,-0.032888108805264195,0.8671118911947358,1.1930310130727526,-0.4216863539746083,4.578313646025392,5.008454178942635,-0.6437851509846333,3.8562148490153665,1.8388682672662275,0.7756641495964137,1.7756641495964136,9.67654102438004,5.647347689626008,6.647347689626008,,,,,,
4,G|a|a_0|q|q_0|c|c_0,0.1,54,0.018518518518518517,185.46296296296296,193.65370370370368,0.3138127082658474,0.16218127980619762,0.26218127980619765,1.1065048313482908,-1.0475718878238587,3.952428112176142,7.583011790190247,5.8543104980128176,6.3543104980128176,1.5339955019092406,1.4767491054032447,2.476749105403245,12.238323459942931,9.426729836066281,10.426729836066281,1.2748947832448592,-0.5478389101734418,-0.5478389101734418,28.532718432449155,10.805743612693822,10.805743612693822
4,G|a|a_0|q|q_0|c|c_0,0.3,59,0.3898305084745763,190.72881355932202,188.17847457627124,0.3241823284404482,0.11663708911526884,0.41663708911526876,1.128969176001085,-1.070688327760791,3.9293116722392094,4.2175454146883675,2.2688773256812516,3.7688773256812516,1.5850328309566089,1.527284365135497,2.5272843651354964,10.684983798821447,7.061786937522074,8.061786937522074,1.2049530226781056,-0.3965334304605015,-0.3965334304605015,22.73561316504783,10.360198414242388,10.360198414242388
4,G|a|a_0|q|q_0|c|c_0,0.5,54,0.8888888888888888,198.35185185185185,211.59092592592592,0.17031937244117606,-0.054886378841686956,0.44511362115831304,1.090472995064021,-1.0422170735627865,3.957782926437213,5.032973801848285,1.809410008397238,4.309410008397238,1.5698822361920224,1.5145934383665094,2.5145934383665094,10.156223794746952,4.981467551016352,5.981467551016349,1.1522098166384809,-0.5565245745444188,-0.5565245745444188,24.441828644036868,9.691165544097553,9.691165544097553
4,G|a|a_0|q|q_0|c|c_0,0.7,54,0.9074074074074074,195.46296296296296,218.2588888888889,0.2171854349821955,-0.06376424151539536,0.6362357584846046,1.0920280756546394,-1.044930847898701,3.9550691521012995,5.677396840755043,1.0411936632525525,4.541193663252553,1.5720392019709952,1.5177490189637763,2.517749018963776,10.561821738169428,5.465905240647465,6.465905240647465,1.130614103323071,-0.5421197913335751,-0.5421197913335751,27.01676018920242,12.463702877070602,12.463702877070602
4,G|a|a_0|q|q_0|c|c_0,0.9,52,0.9038461538461539,193.32692307692307,185.29480769230764,0.28312526874239596,-0.0865848597444828,0.8134151402555172,1.0877400362555507,-1.0389491987259327,3.9610508012740673,5.530907259025797,0.5443670046618265,5.044367004661827,1.5501942682068375,1.4953959875811988,2.4953959875811993,8.48772199203804,4.932302136448233,5.932302136448234,1.1365488251179687,-0.5107695436325778,-0.5107695436325778,28.25897402253751,11.625938953567868,11.625938953567868
5,G|a,0.1,50,0.06,126.38,145.5606,0.3925450026748938,0.26123552947594675,0.3612355294759467,0.20070664271736804,-0.01582809252245049,4.98417190747755,,,,,,,,,,,,,,,
5,G|a,0.3,50,0.42,123.38,105.64220000000002,0.29950238948783336,0.19352565344561495,0.493525653445615,0.1982474434272987,-0.0019747927507857634,4.9980252072492135,,,,,,,,,,,,,,,
5,G|a,0.5,50,1.0,50.04,50.564000000000014,0.03614442936319474,0.0035132641899438544,0.5035132641899439,0.19783106419640625,0.012390832535935753,5.012390832535936,,,,,,,,,,,,,,,
5,G|a,0.7,50,1.0,52.44,45.465199999999996,0.044206556996336306,0.003152353620290873,0.703152353620291,0.19783451267343427,0.012342797548329437,5.012342797548329,,,,,,,,,,,,,,,
5,G|a,0.9,50,1.0,51.68,65.0002,0.05134381822338943,0.0018870815308633193,0.9018870815308634,0.1959007960297925,0.013100881931609241,5.013100881931609,,,,,,,,,,,,,,,
6,G|a|q,0.1,50,0.02,197.58,182.12039999999996,0.4042296117372111,0.27379010909772905,0.37379010909772903,1.3072808417096824,-0.46180991285826223,4.5381900871417375,,,,1.986444882045285,0.8332010048371596,1.8332010048371599,,,,,,,,,
6,G|a|q,0.3,50,0.4,198.24,163.77579999999998,0.36256209323353494,0.24307556698365665,0.5430755669836567,1.303776703395008,-0.5087767210614019,4.491223278938598,,,,2.0075023268448313,0.9132154268849857,1.9132154268849857,,,,,,,,,
6,G|a|q,0.5,50,0.98,191.66,158.65480000000002,0.07825356315763816,-0.00862664700327221,0.4913733529967278,1.2538110056085927,-0.48083966176749354,4.519160338232506,,,,1.9226258192372458,0.8687819866805286,1.8687819866805284,,,,,,,,,
6,G|a|q,0.7,50,0.98,188.4,178.29760000000002,0.10701622185459186,-0.013645314092501032,0.6863546859074988,1.2454172126493146,-0.4836637390528176,4.516336260947182,,,,1.9208953522610261,0.8706774969712815,1.8706774969712814,,,,,,,,,
6,G|a|q,0.9,50,0.98,186.86,156.8398,0.13625457665982818,-0.019130087527401026,0.880869912472599,1.2413197165195362,-0.46594704401591364,4.534052955984086,,,,1.9130390661004626,0.8470401474472561,1.8470401474472558,,,,,,,,,
